sampleID,antigen,FMedian,replicate
SID_gen1,AlexaAntiMouseAb~N/A,10204,1
SID_gen1,AlexaAntiMouseAb~N/A,10075,2
SID_gen1,ERa~N/A,1459,1
SID_gen1,ERa~N/A,1534,2
SID_gen1,HumanIgG1~N/A,617,1
SID_gen1,HumanIgG1~N/A,614,2
SID_gen1,HumanIgG2~N/A,1496,1
SID_gen1,HumanIgG2~N/A,1493,2
SID_gen1,HumanIgG3~N/A,10174,1
SID_gen1,HumanIgG3~N/A,9930,2
SID_gen1,HumanIgA2~N/A,2981,1
SID_gen1,HumanIgA2~N/A,2972,2
SID_gen1,HumanIgA1~N/A,793,1
SID_gen1,HumanIgA1~N/A,775,2
SID_gen1,BSA~N/A,3876,1
SID_gen1,BSA~N/A,3906,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,484,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,518,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,561,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,581,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1132,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1129,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1526,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1564,1
SID_gen1,Internal_19970,816,1
SID_gen1,Internal_19970,849,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,709,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,710,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,77,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,75,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1037,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1022,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,8238,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,8368,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,894,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,866,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,85,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,79,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1259,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1233,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,1316,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,1281,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,75,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,77,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,491,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,485,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,824,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,897,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,1064,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,1005,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,728,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,739,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,527,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3284.8,469,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4512.18,532,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4623.4,578,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2363.77,510,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2797.49,501,1
