sampleID,antigen,FMedian,replicate
J0119,PfD1160W19,14888,1
J0119,MSP2CH15019DBL2,65535,1
J0119,GST,2597,1
J0119,PfD1160W18,30499,2
J0119,PfD1160W19,14048,2
J0119,MSP2CH15019DBL2,65535,2
J0119,GST,2722,2
J0119,PfD1160W18,24184,3
J0119,PfD1160W19,4195,3
J0119,MSP2CH15019DBL2,65535,3
J0119,GST,2295,3
J0119,SERA5,11660,1
J0119,MSP11,39623,1
J0119,RIPR,1028,1
J0119,SPATR,21283,1
J0119,MSP3,65535,1
J0119,PF3D7_1136200,5889,1
J0119,PFSEA,45572,1
J0119,SERA5,11722,2
J0119,MSP11,36324,2
J0119,RIPR,1176,2
J0119,SPATR,17086,2
J0119,MSP3,65535,2
J0119,PF3D7_1136200,5738,2
J0119,PFSEA,40426,2
J0119,SERA5,13264,3
J0119,MSP11,40957,3
J0119,RIPR,1161,3
J0119,SPATR,20407,3
J0119,MSP3,65535,3
J0119,PF3D7_1136200,6604,3
J0119,PFSEA,49339,3
J0119,AMA1,65535,1
J0119,SERA9,3059,1
J0119,MSP7,6971,1
J0119,PF10_0166,22022,1
J0119,MSP10,65535,1
J0119,MSP5,25265,1
J0119,MTRAP,2425,1
J0119,PF113,40699,1
J0119,AMA1,65535,2
J0119,SERA9,3204,2
J0119,MSP7,7500,2
J0119,PF10_0166,19349,2
J0119,MSP10,65535,2
J0119,MSP5,25628,2
J0119,MTRAP,7982,2
J0119,PF113,32326,2
J0119,AMA1,65535,3
J0119,SERA9,3652,3
J0119,MSP7,8538,3
J0119,PF10_0166,25771,3
J0119,MSP10,65535,3
J0119,MSP5,32034,3
J0119,MTRAP,7552,3
J0119,PF113,39298,3
J0119,H101,5594,1
J0119,PF3D7-1431400,8742,1
J0119,RHOPH3,5511,1
J0119,MSRP3,2596,1
J0119,PF13_0125,2017,1
J0119,RH5,3857,1
J0119,SERA4,13662,1
J0119,AARP,1578,1
J0119,H101,5731,2
J0119,PF3D7-1431400,7771,2
J0119,RHOPH3,5772,2
J0119,MSRP3,2392,2
J0119,PF13_0125,1316,2
J0119,RH5,4063,2
J0119,SERA4,12708,2
J0119,AARP,1304,2
J0119,H101,5981,3
J0119,PF3D7-1431400,9294,3
