sampleID,antigen,FMedian,replicate
SID_gen1,AlexaAntiMouseAb~N/A,10935,1
SID_gen1,AlexaAntiMouseAb~N/A,12401,2
SID_gen1,ERa~N/A,2071,1
SID_gen1,ERa~N/A,2064,2
SID_gen1,HumanIgG1~N/A,747,1
SID_gen1,HumanIgG1~N/A,757,2
SID_gen1,HumanIgG2~N/A,1690,1
SID_gen1,HumanIgG2~N/A,1789,2
SID_gen1,HumanIgG3~N/A,12051,1
SID_gen1,HumanIgG3~N/A,11919,2
SID_gen1,HumanIgA2~N/A,3288,1
SID_gen1,HumanIgA2~N/A,3546,2
SID_gen1,HumanIgA1~N/A,892,1
SID_gen1,HumanIgA1~N/A,929,2
SID_gen1,BSA~N/A,6436,1
SID_gen1,BSA~N/A,6100,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,462,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,308,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,508,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,474,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,950,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,926,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,553,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,566,1
SID_gen1,Internal_19970,690,1
SID_gen1,Internal_19970,645,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,617,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,667,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,59,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,59,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,678,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,688,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,9940,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,10165,1
