sampleID,antigen,FMedian,replicate
J0113,MSP3.6,13182,1
J0113,ETRAMP10.2,2310,1
J0113,GAMA,18395,1
J0113,MSRP4,25786,1
J0113,MSP4,15503,1
J0113,RAMA,7602,1
J0113,ASP,17234,1
J0113,MSP3.6,12911,2
J0113,ETRAMP10.2,2256,2
J0113,GAMA,19980,2
J0113,MSRP4,31583,2
J0113,MSP4,17991,2
J0113,RAMA,8915,2
J0113,ASP,20397,2
J0113,MSP3.6,11387,3
J0113,ETRAMP10.2,2114,3
J0113,GAMA,16878,3
J0113,MSRP4,26043,3
J0113,MSP4,16118,3
J0113,RAMA,7328,3
J0113,ASP,14908,3
J0113,PFD1130W,2721,1
J0113,EBA140,3249,1
J0113,MSRP2,1980,1
J0113,MSRP5,1173,1
J0113,P34,1154,1
J0113,MSP8,8092,1
J0113,P12,1981,1
J0113,MSP6,3555,1
J0113,PFD1130W,2633,2
J0113,EBA140,2292,2
J0113,MSRP2,1829,2
J0113,MSRP5,1279,2
J0113,P34,1247,2
J0113,MSP8,10436,2
J0113,P12,2282,2
J0113,MSP6,4970,2
J0113,PFD1130W,2105,3
J0113,EBA140,1077,3
J0113,MSRP2,827,3
J0113,MSRP5,1221,3
J0113,P34,1653,3
J0113,MSP8,6627,3
J0113,P12,1864,3
J0113,MSP6,3732,3
J0113,PF1400044,3912,1
J0113,MSP1,31365,1
J0113,RON6,3600,1
J0113,MSP9,2919,1
J0113,PTEX150,21867,1
J0113,SERA7,7353,1
J0113,MSP2,65535,1
J0113,SERA3,8001,1
J0113,PF1400044,4230,2
J0113,MSP1,32906,2
J0113,RON6,4072,2
J0113,MSP9,3571,2
J0113,PTEX150,28398,2
J0113,SERA7,7365,2
J0113,MSP2,65535,2
J0113,SERA3,11435,2
J0113,PF1400044,3522,3
J0113,MSP1,33361,3
J0113,RON6,3230,3
J0113,MSP9,3929,3
J0113,PTEX150,26153,3
J0113,SERA7,6124,3
J0113,MSP2,65535,3
J0113,SERA3,8325,3
J0113,P41,1467,1
J0113,RON3,4657,1
J0113,PF92,6044,1
J0113,MSRP1,65535,1
J0113,EBA175,4466,1
J0113,TLP,4653,1
J0113,PF3D7_0606800,1716,1
J0113,PFA0135W,2481,1
J0113,P41,1294,2
J0113,RON3,4136,2
J0113,PF92,7198,2
J0113,MSRP1,65535,2
J0113,EBA175,5146,2
J0113,TLP,6062,2
J0113,PF3D7_0606800,1632,2
J0113,PFA0135W,2403,2
J0113,P41,1214,3
J0113,RON3,3601,3
J0113,PF92,5322,3
J0113,MSRP1,65535,3
J0113,EBA175,5401,3
J0113,TLP,3983,3
J0113,PF3D7_0606800,1169,3
J0113,PFA0135W,2469,3
J0113,PF3D7_0525800(IMC1g),7331,1
J0113,PF3D7_1460600(ISP3),3942,1
J0113,PF3D7_1455300,3955,1
J0113,PF3D7_1025300,1455,1
J0113,PF3D7_0925900,1596,1
J0113,PF3D7_0831400,4378,1
J0113,PF3D7_0730800.2,57041,1
J0113,PF3D7_1407800(PM4),674,1
J0113,PF3D7_0525800(IMC1g),7383,2
J0113,PF3D7_1460600(ISP3),4792,2
J0113,PF3D7_1455300,4304,2
J0113,PF3D7_1025300,963,2
J0113,PF3D7_0925900,1956,2
J0113,PF3D7_0831400,5300,2
J0113,PF3D7_0730800.2,62560,2
J0113,PF3D7_1407800(PM4),710,2
J0113,PF3D7_0525800(IMC1g),6443,3
J0113,PF3D7_1460600(ISP3),3713,3
J0113,PF3D7_1455300,3544,3
J0113,PF3D7_1025300,679,3
J0113,PF3D7_0925900,1451,3
J0113,PF3D7_0831400,3978,3
J0113,PF3D7_0730800.2,55497,3
J0113,PF3D7_1407800(PM4),711,3
J0113,PF3D7_0629500_SEG2,16207,1
J0113,PF3D7_1345100,6314,1
J0113,PF3D7_0206200,4637,1
