sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,PF3D7_0206200,1,6003,756,1
SID_gen1,PF3D7_1105800,1,6426,737,1
SID_gen1,PTRAMP,1,9834,738,1
SID_gen1,EBA181,1,6637,768,1
SID_gen1,CD4TAG,1,3421,786,1
SID_gen1,SERA2,1,8332,752,1
SID_gen1,PF3D7_0629500_SEG2,1,30059,860,2
SID_gen1,PF3D7_1345100,1,6591,784,2
SID_gen1,PF3D7_0206200,1,6037,763,2
SID_gen1,PF3D7_1105800,1,5925,748,2
SID_gen1,PTRAMP,1,9411,747,2
SID_gen1,EBA181,1,6580,744,2
SID_gen1,CD4TAG,1,3270,735,2
SID_gen1,SERA2,1,8080,739,2
SID_gen1,PF3D7_0629500_SEG2,1,27101,886,3
SID_gen1,PF3D7_1345100,1,5769,802,3
SID_gen1,PF3D7_0206200,1,5814,775,3
SID_gen1,PF3D7_1105800,1,5561,753,3
SID_gen1,PTRAMP,1,10535,749,3
SID_gen1,EBA181,1,5297,733,3
SID_gen1,CD4TAG,1,3148,714,3
SID_gen1,SERA2,1,6924,719,3
SID_gen1,MSP1Block2K1flank,1,23534,944,1
SID_gen1,MSP1Block2Wellcomefull,1,24365,860,1
SID_gen1,MSP1Block2MAD20full,1,20658,797,1
SID_gen1,MSP3K1,1,2039,758,1
SID_gen1,MSPDBLC-terminal,1,14974,754,1
SID_gen1,Surfin4.2K1,1,8511,727,1
SID_gen1,MSPDBLN-terminal,1,5351,715,1
SID_gen1,Surfin4.2Conserved,1,37357,737,1
SID_gen1,MSP1Block2K1flank,1,24062,1016,2
SID_gen1,MSP1Block2Wellcomefull,1,23855,964,2
SID_gen1,MSP1Block2MAD20full,1,19680,851,2
SID_gen1,MSP3K1,1,2099,775,2
SID_gen1,MSPDBLC-terminal,1,14319,762,2
SID_gen1,Surfin4.2K1,1,8431,739,2
SID_gen1,MSPDBLN-terminal,1,5504,752,2
SID_gen1,Surfin4.2Conserved,1,33699,815,2
SID_gen1,MSP1Block2K1flank,1,21434,1328,3
SID_gen1,MSP1Block2Wellcomefull,1,24975,1098,3
