sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,AlexaAntiMouseAb~N/A,1,7838,64,1
SID_gen1,AlexaAntiMouseAb~N/A,1,8250,63,2
SID_gen1,ERa~N/A,1,2596,58,1
SID_gen1,ERa~N/A,1,2491,57,2
SID_gen1,HumanIgG1~N/A,1,850,83,1
SID_gen1,HumanIgG1~N/A,1,998,121,2
SID_gen1,HumanIgG2~N/A,1,2126,114,1
SID_gen1,HumanIgG2~N/A,1,2005,110,2
SID_gen1,HumanIgG3~N/A,1,11676,116,1
SID_gen1,HumanIgG3~N/A,1,12489,126,2
SID_gen1,HumanIgA2~N/A,1,2851,62,1
SID_gen1,HumanIgA2~N/A,1,2793,79,2
SID_gen1,HumanIgA1~N/A,1,995,122,1
SID_gen1,HumanIgA1~N/A,1,988,114,2
SID_gen1,BSA~N/A,1,232,108,1
SID_gen1,BSA~N/A,1,243,120,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,1,752,66,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,1,717,65,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,1,670,64,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,1,917,75,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1,2171,110,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1,2121,115,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1,969,127,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1,935,145,1
SID_gen1,Internal_19970,1,1615,107,1
SID_gen1,Internal_19970,1,1600,104,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1,2889,59,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1,2380,60,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,53,55,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,51,58,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1,1141,105,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1,1127,115,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,1,9480,114,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,1,9598,110,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,1,1543,103,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,1,1503,102,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,54,56,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,53,55,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1,3852,54,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1,4398,71,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,1,1408,118,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,1,1409,114,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,102,101,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,93,102,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,1,677,114,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,1,671,113,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1,1529,65,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1,1303,59,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,1,2025,58,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,1,2153,77,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,1,2503,107,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,1,2409,108,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,1,565,127,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3284.8,1,584,114,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4512.18,1,665,122,1
