sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,AlexaAntiMouseAb~N/A,1,8450,82,1
SID_gen1,AlexaAntiMouseAb~N/A,1,8588,83,2
SID_gen1,ERa~N/A,1,5297,78,1
SID_gen1,ERa~N/A,1,5206,75,2
SID_gen1,HumanIgG1~N/A,1,613,79,1
SID_gen1,HumanIgG1~N/A,1,657,84,2
SID_gen1,HumanIgG2~N/A,1,1409,79,1
SID_gen1,HumanIgG2~N/A,1,1390,79,2
SID_gen1,HumanIgG3~N/A,1,9469,82,1
SID_gen1,HumanIgG3~N/A,1,8905,88,2
SID_gen1,HumanIgA2~N/A,1,2547,74,1
SID_gen1,HumanIgA2~N/A,1,2598,77,2
SID_gen1,HumanIgA1~N/A,1,718,82,1
SID_gen1,HumanIgA1~N/A,1,717,81,2
SID_gen1,BSA~N/A,1,300,91,1
SID_gen1,BSA~N/A,1,260,154,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,1,502,87,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,1,501,88,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,1,560,74,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,1,568,75,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1,1415,80,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1,1396,77,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1,1340,79,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1,1310,79,1
SID_gen1,Internal_19970,1,1335,80,1
SID_gen1,Internal_19970,1,1358,85,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1,801,78,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1,749,78,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,63,68,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,69,71,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1,1015,75,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1,996,74,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,1,7971,74,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,1,8284,74,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,1,1262,74,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,1,1249,78,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,73,72,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,72,71,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1,1693,68,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1,1741,71,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,1,1185,75,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,1,1150,74,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,71,70,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,65,70,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,1,452,79,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,1,435,81,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1,1409,71,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1,1319,73,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,1,1039,74,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,1,1136,80,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,1,712,83,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,1,656,81,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,1,472,80,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3284.8,1,453,79,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4512.18,1,529,87,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4623.4,1,497,84,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2363.77,1,546,77,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2797.49,1,557,82,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU8576.48,1,494,80,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU7843.49,1,496,87,1
