sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,PF3D7_1407800(PM4),1,14472,14050,3
SID_gen1,PF3D7_0629500_SEG2,1,65535,12437,1
SID_gen1,PF3D7_1345100,1,65535,12925,1
SID_gen1,PF3D7_0206200,1,65535,12858,1
SID_gen1,PF3D7_1105800,1,65535,12181,1
SID_gen1,PTRAMP,1,65535,11793,1
SID_gen1,EBA181,1,65535,11909,1
SID_gen1,CD4TAG,1,37860,12492,1
SID_gen1,SERA2,1,65535,14406,1
SID_gen1,PF3D7_0629500_SEG2,1,65535,12274,2
SID_gen1,PF3D7_1345100,1,65535,12893,2
SID_gen1,PF3D7_0206200,1,65535,12647,2
SID_gen1,PF3D7_1105800,1,65535,11950,2
SID_gen1,PTRAMP,1,65535,11575,2
SID_gen1,EBA181,1,65535,11818,2
SID_gen1,CD4TAG,1,38623,12082,2
SID_gen1,SERA2,1,65535,13885,2
SID_gen1,PF3D7_0629500_SEG2,1,65535,12503,3
SID_gen1,PF3D7_1345100,1,65535,13124,3
SID_gen1,PF3D7_0206200,1,65535,12593,3
SID_gen1,PF3D7_1105800,1,65535,11627,3
SID_gen1,PTRAMP,1,65535,11409,3
SID_gen1,EBA181,1,65535,11705,3
SID_gen1,CD4TAG,1,38267,12002,3
SID_gen1,SERA2,1,65535,13576,3
SID_gen1,MSP1Block2K1flank,1,65535,13826,1
SID_gen1,MSP1Block2Wellcomefull,1,65535,14911,1
SID_gen1,MSP1Block2MAD20full,1,65535,13371,1
SID_gen1,MSP3K1,1,28994,11611,1
SID_gen1,MSPDBLC-terminal,1,65535,11267,1
SID_gen1,Surfin4.2K1,1,65535,11547,1
SID_gen1,MSPDBLN-terminal,1,65535,12080,1
SID_gen1,Surfin4.2Conserved,1,65535,13304,1
SID_gen1,MSP1Block2K1flank,1,65535,14171,2
SID_gen1,MSP1Block2Wellcomefull,1,65535,15154,2
SID_gen1,MSP1Block2MAD20full,1,65535,13961,2
SID_gen1,MSP3K1,1,28507,11838,2
SID_gen1,MSPDBLC-terminal,1,65535,11305,2
SID_gen1,Surfin4.2K1,1,65535,11460,2
SID_gen1,MSPDBLN-terminal,1,65535,12047,2
SID_gen1,Surfin4.2Conserved,1,65535,12653,2
SID_gen1,MSP1Block2K1flank,1,65535,14607,3
SID_gen1,MSP1Block2Wellcomefull,1,65535,16254,3
SID_gen1,MSP1Block2MAD20full,1,65535,13946,3
SID_gen1,MSP3K1,1,27343,12388,3
SID_gen1,MSPDBLC-terminal,1,65535,12037,3
SID_gen1,Surfin4.2K1,1,65535,11634,3
SID_gen1,MSPDBLN-terminal,1,65535,11687,3
SID_gen1,Surfin4.2Conserved,1,65535,11888,3
SID_gen1,PfD1160W18,1,65535,23247,1
SID_gen1,PfD1160W19,1,65535,14905,1
SID_gen1,MSP2CH15019DBL2,1,65535,13008,1
SID_gen1,GST,1,62750,14628,1
SID_gen1,PfD1160W18,1,65535,28496,2
SID_gen1,PfD1160W19,1,65535,13276,2
SID_gen1,MSP2CH15019DBL2,1,65535,12974,2
SID_gen1,GST,1,59066,14192,2
SID_gen1,PfD1160W18,1,65535,14950,3
SID_gen1,PfD1160W19,1,65535,11207,3
SID_gen1,MSP2CH15019DBL2,1,65535,11549,3
SID_gen1,GST,1,52886,11151,3
SID_gen1,SERA5,2,65535,10284,1
SID_gen1,MSP11,2,65535,9795,1
SID_gen1,RIPR,2,19761,8995,1
SID_gen1,SPATR,2,65535,8911,1
SID_gen1,MSP3,2,65535,9096,1
SID_gen1,PF3D7_1136200,2,65535,9315,1
SID_gen1,PFSEA,2,65535,9930,1
SID_gen1,SERA5,2,65535,12680,2
SID_gen1,MSP11,2,65535,13018,2
SID_gen1,RIPR,2,21355,11328,2
SID_gen1,SPATR,2,65535,10647,2
SID_gen1,MSP3,2,65535,11051,2
SID_gen1,PF3D7_1136200,2,65535,11746,2
SID_gen1,PFSEA,2,65535,14608,2
SID_gen1,SERA5,2,65535,13599,3
SID_gen1,MSP11,2,65535,14066,3
SID_gen1,RIPR,2,32186,12738,3
SID_gen1,SPATR,2,65535,11384,3
SID_gen1,MSP3,2,65535,12499,3
SID_gen1,PF3D7_1136200,2,65535,13432,3
SID_gen1,PFSEA,2,65535,15986,3
SID_gen1,AMA1,2,65535,13792,1
SID_gen1,SERA9,2,65535,14279,1
SID_gen1,MSP7,2,65535,13209,1
SID_gen1,PF10_0166,2,65535,12133,1
SID_gen1,MSP10,2,65535,13974,1
SID_gen1,MSP5,2,65535,14576,1
SID_gen1,MTRAP,2,27927,15769,1
SID_gen1,PF113,2,65535,16939,1
SID_gen1,AMA1,2,65535,16002,2
SID_gen1,SERA9,2,65535,14503,2
SID_gen1,MSP7,2,65535,13380,2
SID_gen1,PF10_0166,2,65535,13148,2
SID_gen1,MSP10,2,65535,16460,2
SID_gen1,MSP5,2,65535,16123,2
SID_gen1,MTRAP,2,65535,15338,2
SID_gen1,PF113,2,65535,14938,2
SID_gen1,AMA1,2,65535,16689,3
SID_gen1,SERA9,2,65535,14909,3
SID_gen1,MSP7,2,65535,13522,3
SID_gen1,PF10_0166,2,65535,13587,3
SID_gen1,MSP10,2,65535,18436,3
SID_gen1,MSP5,2,65535,17563,3
SID_gen1,MTRAP,2,65535,14569,3
