sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,MSP3.6,1,6801,971,1
SID_gen1,ETRAMP10.2,1,2913,782,1
SID_gen1,GAMA,1,9454,732,1
SID_gen1,MSRP4,1,17752,707,1
SID_gen1,MSP4,1,11172,698,1
SID_gen1,RAMA,1,4323,689,1
SID_gen1,ASP,1,8380,678,1
SID_gen1,MSP3.6,1,5394,1541,2
SID_gen1,ETRAMP10.2,1,2950,856,2
SID_gen1,GAMA,1,8865,773,2
SID_gen1,MSRP4,1,19099,708,2
SID_gen1,MSP4,1,11861,671,2
SID_gen1,RAMA,1,5632,656,2
SID_gen1,ASP,1,10664,664,2
SID_gen1,MSP3.6,1,4069,1194,3
SID_gen1,ETRAMP10.2,1,3652,812,3
SID_gen1,GAMA,1,7670,732,3
SID_gen1,MSRP4,1,18545,695,3
SID_gen1,MSP4,1,8324,653,3
SID_gen1,RAMA,1,4859,642,3
SID_gen1,ASP,1,7853,663,3
SID_gen1,PFD1130W,1,6222,3154,1
SID_gen1,EBA140,1,5481,921,1
SID_gen1,MSRP2,1,1404,748,1
SID_gen1,MSRP5,1,1503,699,1
SID_gen1,P34,1,1370,671,1
SID_gen1,MSP8,1,6096,639,1
SID_gen1,P12,1,3322,634,1
SID_gen1,MSP6,1,4100,650,1
SID_gen1,PFD1130W,1,3181,1022,2
SID_gen1,EBA140,1,3244,785,2
SID_gen1,MSRP2,1,1449,695,2
SID_gen1,MSRP5,1,1352,662,2
SID_gen1,P34,1,1421,652,2
SID_gen1,MSP8,1,7182,647,2
SID_gen1,P12,1,3881,629,2
SID_gen1,MSP6,1,5292,636,2
SID_gen1,PFD1130W,1,2551,776,3
SID_gen1,EBA140,1,687,700,3
SID_gen1,MSRP2,1,608,640,3
SID_gen1,MSRP5,1,1448,620,3
SID_gen1,P34,1,1656,630,3
SID_gen1,MSP8,1,4888,638,3
SID_gen1,P12,1,2876,624,3
SID_gen1,MSP6,1,3093,636,3
SID_gen1,PF1400044,1,5574,699,1
SID_gen1,MSP1,1,5207,684,1
SID_gen1,RON6,1,4503,638,1
SID_gen1,MSP9,1,3988,623,1
SID_gen1,PTEX150,1,11927,632,1
SID_gen1,SERA7,1,5360,631,1
SID_gen1,MSP2,1,4834,614,1
SID_gen1,SERA3,1,6575,636,1
SID_gen1,PF1400044,1,4377,700,2
SID_gen1,MSP1,1,6279,714,2
SID_gen1,RON6,1,3953,676,2
SID_gen1,MSP9,1,4458,666,2
SID_gen1,PTEX150,1,12090,658,2
SID_gen1,SERA7,1,5215,635,2
SID_gen1,MSP2,1,4774,621,2
SID_gen1,SERA3,1,7813,638,2
SID_gen1,PF1400044,1,3253,711,3
SID_gen1,MSP1,1,5137,740,3
SID_gen1,RON6,1,3633,745,3
SID_gen1,MSP9,1,4348,766,3
SID_gen1,PTEX150,1,11138,709,3
SID_gen1,SERA7,1,4387,650,3
SID_gen1,MSP2,1,4329,639,3
SID_gen1,SERA3,1,5869,645,3
SID_gen1,P41,1,2065,707,1
SID_gen1,RON3,1,6387,714,1
SID_gen1,PF92,1,6360,770,1
SID_gen1,MSRP1,1,27694,942,1
SID_gen1,EBA175,1,3376,765,1
SID_gen1,TLP,1,4733,661,1
SID_gen1,PF3D7_0606800,1,2268,638,1
SID_gen1,PFA0135W,1,3076,658,1
SID_gen1,P41,1,1818,687,2
SID_gen1,RON3,1,5516,701,2
SID_gen1,PF92,1,6775,798,2
SID_gen1,MSRP1,1,28242,1061,2
SID_gen1,EBA175,1,3379,787,2
SID_gen1,TLP,1,6236,679,2
SID_gen1,PF3D7_0606800,1,1466,646,2
SID_gen1,PFA0135W,1,2768,672,2
SID_gen1,P41,1,2087,681,3
SID_gen1,RON3,1,5131,701,3
SID_gen1,PF92,1,5571,813,3
SID_gen1,MSRP1,1,29340,996,3
SID_gen1,EBA175,1,3397,791,3
SID_gen1,TLP,1,4393,693,3
SID_gen1,PF3D7_0606800,1,2183,667,3
SID_gen1,PFA0135W,1,2432,677,3
SID_gen1,PF3D7_0525800(IMC1g),1,9909,685,1
SID_gen1,PF3D7_1460600(ISP3),1,5256,698,1
SID_gen1,PF3D7_1455300,1,4103,776,1
SID_gen1,PF3D7_1025300,1,894,871,1
SID_gen1,PF3D7_0925900,1,3896,767,1
SID_gen1,PF3D7_0831400,1,4732,705,1
SID_gen1,PF3D7_0730800.2,1,27694,678,1
SID_gen1,PF3D7_1407800(PM4),1,748,669,1
SID_gen1,PF3D7_0525800(IMC1g),1,9599,697,2
SID_gen1,PF3D7_1460600(ISP3),1,5635,689,2
SID_gen1,PF3D7_1455300,1,3919,719,2
SID_gen1,PF3D7_1025300,1,765,785,2
SID_gen1,PF3D7_0925900,1,3862,761,2
SID_gen1,PF3D7_0831400,1,5197,722,2
SID_gen1,PF3D7_0730800.2,1,29538,702,2
SID_gen1,PF3D7_1407800(PM4),1,778,666,2
SID_gen1,PF3D7_0525800(IMC1g),1,9820,708,3
SID_gen1,PF3D7_1460600(ISP3),1,4932,678,3
SID_gen1,PF3D7_1455300,1,3880,667,3
SID_gen1,PF3D7_1025300,1,712,699,3
SID_gen1,PF3D7_0925900,1,3175,706,3
SID_gen1,PF3D7_0831400,1,4950,720,3
SID_gen1,PF3D7_0730800.2,1,25682,730,3
SID_gen1,PF3D7_1407800(PM4),1,717,672,3
SID_gen1,PF3D7_0629500_SEG2,1,13004,722,1
SID_gen1,PF3D7_1345100,1,3746,677,1
SID_gen1,PF3D7_0206200,1,3212,644,1
SID_gen1,PF3D7_1105800,1,4824,646,1
SID_gen1,PTRAMP,1,7766,662,1
SID_gen1,EBA181,1,4372,700,1
SID_gen1,CD4TAG,1,1581,726,1
SID_gen1,SERA2,1,4697,682,1
SID_gen1,PF3D7_0629500_SEG2,1,10458,726,2
SID_gen1,PF3D7_1345100,1,4318,678,2
SID_gen1,PF3D7_0206200,1,2988,648,2
SID_gen1,PF3D7_1105800,1,5174,650,2
SID_gen1,PTRAMP,1,7246,659,2
SID_gen1,EBA181,1,4139,686,2
SID_gen1,CD4TAG,1,1546,700,2
SID_gen1,SERA2,1,5840,680,2
SID_gen1,PF3D7_0629500_SEG2,1,12586,725,3
SID_gen1,PF3D7_1345100,1,3449,684,3
SID_gen1,PF3D7_0206200,1,3516,665,3
SID_gen1,PF3D7_1105800,1,4306,665,3
SID_gen1,PTRAMP,1,7818,667,3
SID_gen1,EBA181,1,3124,670,3
SID_gen1,CD4TAG,1,1551,667,3
SID_gen1,SERA2,1,4808,676,3
SID_gen1,MSP1Block2K1flank,1,8698,753,1
SID_gen1,MSP1Block2Wellcomefull,1,9043,716,1
SID_gen1,MSP1Block2MAD20full,1,5967,700,1
SID_gen1,MSP3K1,1,978,692,1
SID_gen1,MSPDBLC-terminal,1,7921,685,1
SID_gen1,Surfin4.2K1,1,3946,667,1
SID_gen1,MSPDBLN-terminal,1,2636,655,1
SID_gen1,Surfin4.2Conserved,1,30726,694,1
SID_gen1,MSP1Block2K1flank,1,8610,822,2
SID_gen1,MSP1Block2Wellcomefull,1,9407,794,2
SID_gen1,MSP1Block2MAD20full,1,6260,762,2
SID_gen1,MSP3K1,1,1246,728,2
SID_gen1,MSPDBLC-terminal,1,8063,708,2
SID_gen1,Surfin4.2K1,1,5190,674,2
SID_gen1,MSPDBLN-terminal,1,2374,669,2
SID_gen1,Surfin4.2Conserved,1,33070,787,2
SID_gen1,MSP1Block2K1flank,1,7178,1080,3
SID_gen1,MSP1Block2Wellcomefull,1,8429,1071,3
SID_gen1,MSP1Block2MAD20full,1,3555,893,3
SID_gen1,MSP3K1,1,1579,781,3
SID_gen1,MSPDBLC-terminal,1,7001,739,3
SID_gen1,Surfin4.2K1,1,4372,703,3
SID_gen1,MSPDBLN-terminal,1,1412,710,3
SID_gen1,Surfin4.2Conserved,1,32083,826,3
SID_gen1,PfD1160W18,1,29929,1979,1
SID_gen1,PfD1160W19,1,8601,1003,1
SID_gen1,MSP2CH15019DBL2,1,3172,797,1
SID_gen1,GST,1,2937,787,1
SID_gen1,PfD1160W18,1,21783,2521,2
SID_gen1,PfD1160W19,1,8995,994,2
SID_gen1,MSP2CH15019DBL2,1,2449,804,2
SID_gen1,GST,1,2940,803,2
SID_gen1,PfD1160W18,1,15008,1868,3
SID_gen1,PfD1160W19,1,1944,1053,3
SID_gen1,MSP2CH15019DBL2,1,1431,848,3
SID_gen1,GST,1,2946,837,3
SID_gen1,SERA5,2,8756,688,1
SID_gen1,MSP11,2,5304,674,1
SID_gen1,RIPR,2,781,644,1
SID_gen1,SPATR,2,6999,662,1
SID_gen1,MSP3,2,7729,709,1
