sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,AlexaAntiMouseAb~N/A,1,5297,52,1
SID_gen1,AlexaAntiMouseAb~N/A,1,5479,54,2
SID_gen1,ERa~N/A,1,2547,55,1
SID_gen1,ERa~N/A,1,3017,65,2
SID_gen1,HumanIgG1~N/A,1,646,60,1
SID_gen1,HumanIgG1~N/A,1,414,55,2
SID_gen1,HumanIgG2~N/A,1,949,54,1
SID_gen1,HumanIgG2~N/A,1,924,52,2
SID_gen1,HumanIgG3~N/A,1,5686,53,1
SID_gen1,HumanIgG3~N/A,1,6095,54,2
SID_gen1,HumanIgA2~N/A,1,1256,55,1
SID_gen1,HumanIgA2~N/A,1,1537,63,2
SID_gen1,HumanIgA1~N/A,1,632,80,1
SID_gen1,HumanIgA1~N/A,1,773,72,2
SID_gen1,BSA~N/A,1,335,59,1
SID_gen1,BSA~N/A,1,374,68,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,1,513,54,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,1,543,63,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,1,719,58,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,1,689,58,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1,1751,70,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1,1959,97,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1,865,102,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1,1034,81,1
SID_gen1,Internal_19970,1,1402,65,1
SID_gen1,Internal_19970,1,1211,59,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1,1050,49,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1,978,53,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,53,55,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,56,55,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1,996,60,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1,1039,73,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,1,5189,102,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,1,5695,116,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,1,2200,72,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,1,1736,54,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,50,48,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,48,47,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1,1499,51,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1,1411,56,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,1,955,60,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,1,977,61,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,63,70,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,433,104,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,1,714,98,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,1,832,68,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1,1031,50,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1,961,51,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,1,924,52,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,1,944,55,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,1,839,61,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,1,828,61,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,1,505,61,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3284.8,1,511,74,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4512.18,1,860,122,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4623.4,1,906,109,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2363.77,1,685,53,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2797.49,1,573,55,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU8576.48,1,659,55,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU7843.49,1,594,53,1
SID_gen1,Hs~RefNM_020662.1~uORFIOH37719~RFU3563.85,1,392,69,1
SID_gen1,Hs~RefNM_020662.1~uORFIOH37719~RFU3332.32,1,414,58,1
SID_gen1,Hs~RefNM_000879.2~uORFIOH40150~RFU11821.86,1,383,53,1
SID_gen1,Hs~RefNM_000879.2~uORFIOH40150~RFU10069.16,1,424,53,1
SID_gen1,Hs~MGCBC069505.1~uORFIOH40261~RFU37801.03,1,668,73,1
SID_gen1,Hs~MGCBC069505.1~uORFIOH40261~RFU35777.98,1,1034,138,1
SID_gen1,Hs~RefNM_205853.1~uORFIOH43061~RFU32322.5,1,25543,50,1
SID_gen1,Hs~RefNM_205853.1~uORFIOH43061~RFU33068.23,1,26290,52,1
SID_gen1,Hs~RefXM_379117.1~uORFIOH43619~RFU18591.65,1,3577,51,1
SID_gen1,Hs~RefXM_379117.1~uORFIOH43619~RFU19900.88,1,3457,51,1
SID_gen1,Hs~RefNM_000609.3~uORFIOH40945~RFU13178.88,1,603,52,1
SID_gen1,Hs~RefNM_000609.3~uORFIOH40945~RFU13503.18,1,596,52,1
SID_gen1,Hs~RefNM_173456.1~uORFIOH45493~RFU10085.94,1,618,52,1
SID_gen1,Hs~RefNM_173456.1~uORFIOH45493~RFU11343.94,1,654,51,1
SID_gen1,Hs~RefNM_177524.1~uORFIOH45900~RFU16154.08,1,1038,54,1
SID_gen1,Hs~RefNM_177524.1~uORFIOH45900~RFU18975.84,1,1048,66,1
SID_gen1,Hs~RefNM_170672.1~uORFIOH27295~RFU30551.01,1,1730,48,1
SID_gen1,Hs~RefNM_170672.1~uORFIOH27295~RFU46088.36,1,1797,48,1
SID_gen1,Hs~MGCBC054004.1~uORFIOH29012~RFU43392.12,1,1711,51,1
SID_gen1,Hs~MGCBC054004.1~uORFIOH29012~RFU42432,1,1765,52,1
SID_gen1,Hs~MGCBC041132.1~uORFIOH26140~RFU10604.59,1,496,52,1
SID_gen1,Hs~MGCBC041132.1~uORFIOH26140~RFU9042.19,1,499,51,1
SID_gen1,Hs~RefNM_203422.1~uORFIOH29035~RFU17725.91,1,1182,50,1
SID_gen1,Hs~RefNM_203422.1~uORFIOH29035~RFU19331.49,1,1195,49,1
SID_gen1,Hs~RefNM_139016.2~uORFIOH27635~RFU37974.93,1,3421,50,1
SID_gen1,Hs~RefNM_139016.2~uORFIOH27635~RFU36539.28,1,3478,54,1
SID_gen1,Hs~RefNM_000061.1~N/A~RFU27570.52,1,918,47,1
SID_gen1,Hs~RefNM_000061.1~N/A~RFU44817.51,1,991,49,1
SID_gen1,Hs~RefNM_001433.1~N/A~RFU3974.32,1,524,50,1
SID_gen1,Hs~RefNM_001433.1~N/A~RFU4237.19,1,501,51,1
SID_gen1,Hs~RefNM_002753.2~N/A~RFU0,1,47,49,1
SID_gen1,Hs~RefNM_002753.2~N/A~RFU9.22,1,49,48,1
SID_gen1,Hs~RefNM_001315.1~N/A~RFU0,1,46,48,1
SID_gen1,Hs~RefNM_001315.1~N/A~RFU0,1,45,48,2
SID_gen1,Hs~RefNM_004448.1~N/A~RFU9604.66,1,524,49,1
SID_gen1,Hs~RefNM_004448.1~N/A~RFU8841.37,1,566,52,1
SID_gen2,AlexaAntiMouseAb~N/A,2,6072,49,1
SID_gen2,AlexaAntiMouseAb~N/A,2,6004,52,2
SID_gen2,ERa~N/A,2,1857,66,1
SID_gen2,ERa~N/A,2,1677,74,2
SID_gen2,HumanIgG1~N/A,2,431,75,1
SID_gen2,HumanIgG1~N/A,2,422,76,2
SID_gen2,HumanIgG2~N/A,2,1030,69,1
SID_gen2,HumanIgG2~N/A,2,992,73,2
SID_gen2,HumanIgG3~N/A,2,7014,81,1
SID_gen2,HumanIgG3~N/A,2,7102,83,2
SID_gen2,HumanIgA2~N/A,2,2312,85,1
SID_gen2,HumanIgA2~N/A,2,2431,78,2
SID_gen2,HumanIgA1~N/A,2,617,77,1
SID_gen2,HumanIgA1~N/A,2,625,78,2
SID_gen2,BSA~N/A,2,218,92,1
SID_gen2,BSA~N/A,2,226,92,2
SID_gen2,Hs~RefNM_014741.2~uORFIOH3624~RFU17462.34,2,838,79,1
SID_gen2,Hs~RefNM_014741.2~uORFIOH3624~RFU17228.79,2,720,103,1
SID_gen2,Hs~MGCBC002701.2~uORFIOH5296~RFU10870.22,2,1773,82,1
SID_gen2,Hs~MGCBC002701.2~uORFIOH5296~RFU11511.07,2,1784,75,1
SID_gen2,Hs~RefNM_032354.1~uORFIOH6348~RFU48763.52,2,1036,74,1
SID_gen2,Hs~RefNM_032354.1~uORFIOH6348~RFU46619.15,2,1066,76,1
SID_gen2,Hs~MGCNM_174896.2~uORFIOH23052~RFU23534.53,2,1027,75,1
SID_gen2,Hs~MGCNM_174896.2~uORFIOH23052~RFU25114.75,2,1050,82,1
SID_gen2,Hs~RefNM_002964.3~uORFIOH7407~RFU33706.4,2,566,365,1
SID_gen2,Hs~RefNM_002964.3~uORFIOH7407~RFU31776.36,2,500,476,1
SID_gen2,Hs~MGCBC038934.1~uORFIOH27574~RFU9.22,2,73,92,1
SID_gen2,Hs~MGCBC038934.1~uORFIOH27574~RFU0,2,79,79,1
SID_gen2,Hs~MGCBC040516.1~uORFIOH27501~RFU0,2,68,72,1
SID_gen2,Hs~MGCBC040516.1~uORFIOH27501~RFU0,2,66,68,2
SID_gen2,Hs~MGCBC036923.1~uORFIOH25928~RFU27543.22,2,1882,74,1
SID_gen2,Hs~MGCBC036923.1~uORFIOH25928~RFU28647.26,2,1920,82,1
