AARP,AMA1,ASP,Buffer,CD4TAG,CLAG3.2,CommercialHumanIgG,EBA140,EBA175,EBA181,ETRAMP10.2,GAMA,GST,H101,Landmark,MBP,MSP1,MSP10,MSP11,MSP1Block17,MSP1Block23D7full,MSP1Block23D7repeat,MSP1Block2K1flank,MSP1Block2MAD20full,MSP1Block2MAD20repeat,MSP1Block2PaloAltorepeat,MSP1Block2R033,MSP1Block2Wellcomefull,MSP1Block2Wellcomerepeat,MSP2,MSP2CH15019DBL2,MSP2CHO,MSP2DD2,MSP3,MSP3.5,MSP3.6,MSP33D7,MSP3K1,MSP4,MSP5,MSP6,MSP7,MSP8,MSP9,MSPDBL2C.terminal,MSPDBL2N.terminal,MSPDBLC.terminal,MSPDBLN.terminal,MSRP1,MSRP2,MSRP3,MSRP4,MSRP5,MTRAP,P12,P34,P38,P41,PF10_0166,PF113,PF13_0125,PF1400044,PF3D7.1137300,PF3D7.1431400,PF3D7_0206200,PF3D7_0525800.IMC1g.,PF3D7_0606800,PF3D7_0629500_SEG1,PF3D7_0629500_SEG2,PF3D7_0730800.2,PF3D7_0830500,PF3D7_0831400,PF3D7_0925900,PF3D7_1025300,PF3D7_1105800,PF3D7_1136200,PF3D7_1229300,PF3D7_1237900,PF3D7_1252300,PF3D7_1343700.KELCH.,PF3D7_1345100,PF3D7_1401600.PHISTB.,PF3D7_1407800.PM4.,PF3D7_1455300,PF3D7_1460600.ISP3.,PF3D7_1462300,PF92,PFA0135W,PFA0210c,PFA0445W,PFD1130W,PfD1160W18,PfD1160W19,PFSEA,PTEX150,PTRAMP,RAMA,RH1,RH2b,RH5,RHOPH3,RIPR,RON3,RON6,SERA2,SERA3,SERA4,SERA5,SERA7,SERA9,SPATR,Surfin4.23D7A,Surfin4.23D7B,Surfin4.2Conserved,Surfin4.2K1,Surfin4.2K1A,TLP
506.5,55323.5,57474.5,1595.5,4725,46626,27813.5,-440,54828.5,18910.5,9945,55134,7862,34700.5,54455.5,53323.5,56222.5,56137,57067,56384.5,55224,54818.5,57961,40613.5,26814,16899,50300.5,57877,49137,57150.5,57249,56787.5,46416,55786,57634.5,26154,13800.5,2650.5,54667,56035.5,56763.5,57057,56070.5,20370,55987.5,56583.5,35427,35886.5,53687,55656,38585.5,54135.5,7463,-23.5,28162,19181.5,11834,5014,57012.5,56934.5,2545.5,21785,26645.5,50103,15589,27693.5,10250.5,23531.5,32075.5,58203,13162,30423.5,15768.5,165,19939,50851,49298,1125.5,-149,724.5,11007.5,57830,269,15214,23067.5,10743,28816,11649,39766.5,39889,8506,57024.5,32196,56129,57480,33235,44894.5,58009,17164.5,40637,52042,1281,26608.5,25840.5,35857.5,57000,56563.5,55634.5,21410,19326.5,57698.5,56993,3018,48722.5,25065.5,12992,30781.5
-168,60649,26803,24,1400.5,5749.5,51733,2529.5,46287.5,19679,3776,24295.5,1888.5,5409,57707.5,21312.5,31485.5,58877,59709,32464,60891,28621,61186.5,22193,12465,17217,23825.5,37182,11251.5,61701,59824,61031,59533.5,59141.5,18423.5,5370,1513.5,923,59733.5,19094.5,37858,60214.5,17176.5,14637.5,24337.5,35029,54055.5,43505,36941,21533,5986,38916,1771.5,-220.5,3872,1569,8418,5293.5,21073.5,11403.5,231,7968,6369.5,9073,7997.5,15377.5,2323,2321.5,19371.5,61983,2677,13419.5,6011,-158.5,9147,4691,9089.5,-135,-278,-138.5,8108,13185,-39.5,8489.5,13883,2120,14553.5,5042.5,12126,5890,5665,19479,16831.5,52369.5,22061.5,21151.5,20708,6511,1409,3490,4441.5,-332.5,10651.5,7552.5,11041,14504.5,3883.5,14544.5,9855,2995.5,17329.5,30415.5,129,40233.5,12788,2670,7981.5
306.5,59954.5,56662,953.5,6391.5,10922.5,15398.5,1815.5,14946,7510,7886,47672,3870,27727.5,56171,19227.5,59186,55725,42401.5,7264,10539,10127,55424.5,41636.5,26995.5,11195,7999,61113.5,5149.5,61155,19718,23950.5,50164,58348.5,44000,38689,4240,1679,58577,47326,26107.5,38140,43795,12430.5,9241.5,22966.5,41582.5,25496.5,57479.5,26955,7585.5,60677.5,1640.5,3483,7492,5960,7965.5,1590.5,42730.5,43745.5,415,16667,17072,22406.5,11567.5,33336.5,5377,5460.5,31340,60671,7064,29855,6165,-91.5,20613.5,11803.5,6719,-81,-79.5,261.5,9176.5,24618,-76.5,21205,29664.5,5336.5,22277,11969,20476.5,18158,9650,49238,37003.5,58873.5,60913.5,33708,38602,19410,5712,9207,9153,412,22449.5,15792.5,37532,37296,27338,44966.5,18563.5,14260.5,39798,58292,877,48368.5,24966,10515,13259.5
354.5,54995,58507.5,283,2995,9269,36316.5,5765,58321,18113,4350.5,53079.5,3256,19316,55038.5,57204.5,50896,56899,57390,58190.5,59211,34251,59493,23916.5,25748.5,19163,56795.5,59803.5,55616,57252,59138.5,57732,56321,58392,47958.5,12299,23692.5,2693,57939,40678.5,33454,49505,57979.5,12385,44837,57946,22764,51845.5,58221.5,515.5,6926.5,58604.5,1887,45104,19565.5,4003.5,36704,57637,58434.5,58544,1003,10439.5,9515,18072.5,13785,15065.5,6213.5,7933,22811.5,59535.5,4291,14229,3990.5,-94,9610.5,56445.5,14866,-175.5,-53,365.5,9290.5,28631.5,-20.5,7728,11571,6634.5,13181,7147.5,16240,17341.5,5961,56249,13877,57589,57493.5,16974.5,32506,27483.5,4740.5,7798.5,15889,981,11070.5,7642,27068,23140,58813,57418,12611,9486,39626.5,59110.5,1023,41709.5,12018.5,28487,13535
-203,58640.5,60802,4020,8828,35247.5,39788,13081,58025,61575,25570,59817.5,18805.5,57746,58191.5,58067.5,51784,57121.5,60398.5,59544,55171.5,59188.5,60879,61380,58053,57752.5,59079,60985.5,59207,60645,59783,59692,53095.5,60742,60923,54098.5,50838,7739,58774,57068.5,60256,60946.5,60045,58045,58574.5,58768.5,61614,59429.5,57293.5,53272,38097.5,59472,21920,496.5,33655.5,19100.5,43844,29103.5,61126.5,60634.5,6541.5,38141,41635.5,38947,41871,52038.5,32586,19991.5,62038.5,61403,24182,49462.5,35203,100,36131,59581.5,46498,174.5,-111,399,39347,61160.5,1611.5,45795,49120,24774,57757.5,37611.5,45924.5,43005.5,29320.5,58420,47657,60462,58968,54900.5,59654,61327,17271,24814.5,61254,4136.5,56237,44199,60347,60583,61278,60502.5,45170,44190.5,61559,59241.5,2718.5,58947.5,50560.5,27018.5,61022
41,63944,6636,-10.5,340,2104.5,34185,250.5,37364,6662,1766,5857,674,3338,59293.5,5572,56644,63896.5,19391,18160.5,12482.5,10865.5,11640,3177.5,7008.5,6070.5,6731.5,13403,8365.5,25264.5,36539,51818.5,54214,22682.5,8144,12028,3861.5,560,64139.5,14238.5,9479.5,9498,4519.5,4134.5,7845.5,8179.5,4469.5,6087,25098,14927.5,1614,14797.5,1301,1022,2074.5,659,7879.5,1573,6025,21647.5,357,1693.5,1845,2225,2232,3053,1581.5,1737,4219.5,21579.5,924.5,2308.5,951.5,-11.5,2018.5,4785.5,3019.5,-6,-23.5,202,1602.5,3603.5,74.5,2302,1930.5,1099.5,2333.5,2184.5,2369.5,3306,2265.5,5624.5,1589,16937.5,13172,2546,8364.5,14028,1371.5,2419,9484,501,2015,2190.5,5037.5,7719,19554,17249,4392.5,3287,5158,7599,279,4776.5,2285,1280.5,3019.5
-22,9031,873.5,-10,28.5,533.5,41269,97.5,3123,414.5,480.5,700.5,77.5,360.5,61347,413,4309.5,8208,1331,516.5,808,547.5,1008.5,428.5,459,494.5,489.5,912.5,-473,2072.5,479,3550.5,3590,1967.5,765,2056.5,64.5,34,6104,900,806.5,737,482.5,448.5,609.5,566.5,381.5,552.5,1852.5,1075,170,1359.5,84,75,381,102,902,181.5,406,1444.5,39,549,298.5,417,295.5,731.5,222,178,1059,1547,195.5,503,175.5,-20,463.5,891,554,-30.5,-5,101.5,468.5,446,-8.5,999,735,70.5,328,272.5,454.5,519.5,295.5,5836,211.5,1503,1151,760.5,905.5,1773,308,321,712,74,480.5,665.5,187,917,1344,1236.5,1331.5,525.5,854,546.5,-106,376.5,161,139,552.5
-801.5,52860.5,55139.5,637,22952.5,54420,27854.5,51445.5,46703.5,55515.5,53515.5,52924,40483.5,55417,48594,48564,39657,53264,53922,51359.5,36780,51881,53642,54859,845,46333.5,53412.5,53207.5,51982,54026.5,52989,51170,38462.5,55392,53948.5,53357,46632,15342,51821,53414,54785.5,55342,53677.5,50102.5,53270,53790.5,55453,53977,41466.5,4146.5,55372.5,52607,16941.5,48463.5,54791.5,21816,56349,53854.5,55376,53555.5,4719,47312.5,55454.5,55872,56215.5,55543,52426,40424,55952,54702,46995,55510,54392,1322,56161,55209.5,56593,679.5,-138.5,940.5,56000.5,55865.5,386.5,55577.5,55575.5,29974.5,49029,55798,55608.5,56747,52094,51711.5,54830.5,54955,51882.5,55964,53955.5,54586.5,36198,52500,55919,9747.5,52874,44517.5,52664.5,54548.5,56152,54346,53655.5,53497.5,56485,54212.5,11355.5,53493.5,54998.5,54211,53471
168,61085,26230,-128,1341.5,4941.5,37223,3564,62131,18628,5479.5,22885.5,2432.5,11432.5,60292,19973.5,59716.5,61332.5,62883,56783.5,39023,23345,22902,12805.5,24014,22302.5,21522,47083.5,14765,63611,45662.5,62915,59720,63354,32434.5,24591.5,9804.5,814,61997,40225.5,32015,34556,19059.5,14141.5,21576.5,27155,16317.5,22178.5,62500,60368,4853.5,59749.5,3298,9877,6609,2306,23489.5,6486.5,18952.5,63572,636,7415.5,3985.5,8338,6395,11086,4381,2405,15473.5,63788,2377,5314,3873.5,-8.5,3124,16954.5,6464.5,-13,-54.5,179.5,4672.5,10425,104,7607.5,6764,2301,8801.5,4916.5,6941,8297,6784,8513,4385,63202.5,50176,5584,25769.5,36483,2730.5,6519.5,29932,1314,8117,6544,5244,24170.5,60441,61939.5,8351.5,13200,20475,25955,627.5,4843,6342,3883.5,8504
-29.5,36064,1930.5,-66,99.5,964.5,40909,399,9672.5,1403,1453.5,1794.5,249.5,1002.5,61861,1715,14877,32119.5,5471.5,4723.5,2667,2829.5,2902.5,1005,1642,1420.5,2191.5,3077.5,2127,5938,746.5,13266,13432.5,6216.5,2189.5,4280,913.5,8.5,18609,3407.5,2608,3093.5,1230.5,1349.5,2763.5,2684,1037.5,1092,6197.5,3659,609,5049,430,281,907.5,289,2985,553.5,1468,6032.5,140,1019,657.5,1013,527.5,1190,477,586,1080,5656.5,406,873,361,-12.5,630,1745,1301,-13.5,-6,164.5,310,1116.5,8,1099,873,331,1161,593,857,1260.5,851.5,5271.5,834.5,5142.5,2964.5,1037,1948,5309,650,882,2800,116,879,1210,183.5,2324.5,4822,4974.5,2082,1146,2126.5,2357.5,-6.5,750,313.5,292.5,1031
-11.5,558,97.5,-0.5,4,441.5,38691,-4,40.5,1,277.5,100,23.5,205.5,61158,156,128.5,370.5,257,157,78,-9.5,65.5,43,201.5,84,176,29,-661.5,45,-16,84,131.5,780,204.5,16042.5,-17,8.5,165,321.5,131,238.5,114.5,147.5,381,379.5,32,-5.5,110,41.5,178.5,131.5,58,35.5,146,49.5,296,13,249.5,299.5,58,59,172,366.5,34.5,26,15,267.5,24.5,27.5,179,19,38.5,-14,13.5,954.5,572,-22,-10.5,117,24.5,342,-2.5,267.5,31.5,114,96,17.5,301.5,522,51,-210.5,188.5,852.5,56.5,24.5,172,457,328,229.5,181.5,59,91.5,286.5,17,51,245.5,261,212,212,554.5,233.5,-39.5,-1,5.5,23.5,62
-23.5,508.5,332.5,-3,-2.5,246.5,48312,-24.5,113.5,-1,114,209,-8.5,116.5,61173,153,99,232,6459,214.5,140.5,445,133,106,96.5,107.5,207,103.5,-884.5,217.5,-20,147.5,171,685,134,354.5,6,-4,264.5,186,86.5,129.5,110.5,69.5,289,235.5,67.5,1544,97,136.5,378,117.5,13.5,79.5,99.5,31.5,283,13,220.5,175,3687.5,112,139,212.5,64.5,220.5,44,101,230.5,430,57,132,35,-9.5,88,496,347,-22,-11,121,97.5,176.5,-6,292,97.5,46.5,79,50,183,381.5,75,240.5,143,995,139,131,269,527,252.5,130.5,95,-2,163,167.5,32,209.5,114,284,242.5,112.5,375,165,-44.5,55.5,465,-24,88
-8.5,590.5,446,870,40,344.5,43117,-19,175.5,43,274,237.5,-1,154,60158,201,147.5,406.5,6986.5,268,140,577,227,115,83.5,103.5,275,203.5,324,294.5,-19.5,105.5,172.5,811.5,181.5,254.5,24.5,19.5,350.5,275,181,189.5,149,142.5,507,284.5,201,33,116,145,124.5,261,51.5,120.5,228.5,69,328,98,180,241,26,341,225.5,343.5,158.5,406.5,90,201,760,472.5,116.5,310.5,98.5,-10,271,597.5,468.5,-18,-15.5,154,300.5,265,-0.5,404,233.5,77,144,86.5,211,522,136.5,419,63,752.5,219.5,413.5,413,474,364,249,114.5,23.5,367.5,392,180.5,306,205.5,266.5,620.5,192.5,504.5,285.5,10,131,111.5,34,170.5
-6.5,685,480.5,-5,39.5,390,42806,-1.5,222.5,27.5,247.5,310,24,216.5,60671,93,152,440.5,6670,91.5,22.5,142,201,127,52.5,40,25.5,164.5,-128.5,342.5,35.5,69,106.5,899.5,215,323,10,16,401.5,337,249,284,229.5,143,99.5,149.5,196.5,26,131,178.5,145,239.5,46,148,199,83,350,87.5,295.5,276,25.5,358,184,364,180.5,439.5,100.5,198,862,529.5,121.5,323,108,-11,266.5,639.5,494.5,-13,-6.5,148,286,199.5,-11.5,417,243.5,78.5,131,471,273.5,500,183.5,430.5,88,825.5,263,418.5,367.5,455.5,336,260.5,179.5,38.5,346.5,321.5,229,388.5,214,283,603.5,223.5,535.5,14.5,-74,103.5,96.5,15.5,198
-5,968.5,623.5,-10,23,410.5,18851.5,-11.5,295.5,126.5,906.5,488.5,66,272.5,60018,187,239,638.5,501,350.5,159,582,504.5,286.5,199.5,196,526.5,537.5,351.5,423,99,105,225.5,764.5,250,2475,27.5,52.5,636,458.5,338,464,386,318,637.5,517,356.5,171.5,130,166.5,221.5,411.5,198,-28.5,349.5,225.5,238,234,342.5,462.5,66,448,243,372.5,337.5,595,140,328.5,678.5,715.5,161,360,203,-7.5,406.5,582.5,437.5,-11,-0.5,183,502.5,339,-1.5,552.5,388,154.5,236,210.5,293.5,640.5,355,7660.5,279.5,1824,349,498,467,499,323.5,351.5,170,72.5,517,323.5,331,503,491.5,422,444.5,293.5,469.5,410.5,-11.5,298,228.5,105.5,321.5
133,35651.5,62648,1287.5,1480,2560.5,45146.5,2579,57118.5,5607,2238,19766,5693.5,8904.5,61110.5,13893.5,57477,47532.5,10245,35180.5,24111.5,50276.5,50071.5,24133,7273.5,9426,35706,39274,23948,24076,14409.5,36707,16614.5,22810.5,24840.5,4810,2727,342.5,63483,44059.5,3557.5,10524,49226,8668,55674,60590,17847.5,1926.5,55010.5,56855.5,1592,43037,8212,1583,2906.5,919,6255.5,1275,20301.5,15189,337,5292,3063.5,6925.5,1856,8251,992,2536.5,14884,64192,1397.5,5252.5,2083.5,161,3382,5399,5136,24,25,283.5,2038,8267,118.5,2622.5,3178.5,1735.5,7314,1273.5,3542.5,10523.5,1696,60839,12952.5,52303,46765,4619.5,19185.5,21195,2796,1805.5,1322,151.5,4667,3658.5,5058,8365.5,3594.5,63391,5074.5,2079,22020,60875.5,834.5,23138,10200.5,3309,5113
-31.5,22090,8059,93.5,801.5,1567,35975.5,139.5,1882,1762,1485.5,5232.5,3431.5,3484.5,61694,6475.5,2737,7783,10111,16120.5,2472.5,7019,5892.5,4517,-9,2316.5,5726,8529.5,5738.5,19061,3247,4118.5,11636,4406.5,5295.5,2759,962,352,8235,5844,2456.5,2466,3598.5,2216,8491,12076,4778,1235,63320.5,1034,1195.5,13557,539.5,484.5,1047.5,436.5,1456,848,5015.5,3327,152.5,2162.5,1989,2684,1513,14055.5,854.5,2201,7722.5,26657,908,3769.5,2737.5,-24,3153.5,1789,2785,-14,-0.5,197.5,2520.5,3815.5,179,2305.5,4248,771,4192.5,1768.5,2582.5,4584.5,1641,22910.5,7268,22292,14772,4032.5,2179,5569,1372,921.5,659,159.5,3021,2646.5,3790,5629,1822.5,5267,3460,1313,5165.5,10230,366.5,9283,4072,1332,5320
