sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
533,1,PFA0135W,65535,10545,54990,1,8,10,1,KK2-17_first
533,1,P41,65535,12052,53483,1,1,11,2,KK2-17_first
533,1,RON3,65535,13439,52096,1,2,11,2,KK2-17_first
533,1,PF92,65535,17319,48216,1,3,11,2,KK2-17_first
533,1,MSRP1,65535,26466,39069,1,4,11,2,KK2-17_first
533,1,EBA175,65535,19136,46399,1,5,11,2,KK2-17_first
533,1,TLP,65535,11936,53599,1,6,11,2,KK2-17_first
533,1,PF3D7_0606800,62213,10350,51863,1,7,11,2,KK2-17_first
533,1,PFA0135W,65535,9827,55708,1,8,11,2,KK2-17_first
533,1,P41,65535,11309,54226,1,1,12,3,KK2-17_first
533,1,RON3,65535,11883,53652,1,2,12,3,KK2-17_first
533,1,PF92,65535,15693,49842,1,3,12,3,KK2-17_first
533,1,MSRP1,65535,23652,41883,1,4,12,3,KK2-17_first
533,1,EBA175,65535,17483,48052,1,5,12,3,KK2-17_first
533,1,TLP,65535,11648,53887,1,6,12,3,KK2-17_first
533,1,PF3D7_0606800,64664,10029,54635,1,7,12,3,KK2-17_first
533,1,PFA0135W,65535,9647,55888,1,8,12,3,KK2-17_first
533,1,PF3D7_0525800(IMC1g),65535,10730,54805,1,1,13,1,KK2-17_first
533,1,PF3D7_1460600(ISP3),65535,10889,54646,1,2,13,1,KK2-17_first
533,1,PF3D7_1455300,65535,11754,53781,1,3,13,1,KK2-17_first
533,1,PF3D7_1025300,15334,13245,2089,1,4,13,1,KK2-17_first
533,1,PF3D7_0925900,65520,12072,53448,1,5,13,1,KK2-17_first
533,1,PF3D7_0831400,65535,10729,54806,1,6,13,1,KK2-17_first
533,1,PF3D7_0730800.2,65535,10240,55295,1,7,13,1,KK2-17_first
533,1,PF3D7_1407800(PM4),10074,9678,396,1,8,13,1,KK2-17_first
533,1,PF3D7_0525800(IMC1g),65535,10107,55428,1,1,14,2,KK2-17_first
533,1,PF3D7_1460600(ISP3),65535,10130,55405,1,2,14,2,KK2-17_first
533,1,PF3D7_1455300,65535,10266,55269,1,3,14,2,KK2-17_first
533,1,PF3D7_1025300,10827,10272,555,1,4,14,2,KK2-17_first
533,1,PF3D7_0925900,65535,10199,55336,1,5,14,2,KK2-17_first
533,1,PF3D7_0831400,65535,10096,55439,1,6,14,2,KK2-17_first
533,1,PF3D7_0730800.2,65535,10638,54897,1,7,14,2,KK2-17_first
533,1,PF3D7_1407800(PM4),10461,10084,377,1,8,14,2,KK2-17_first
533,1,PF3D7_0525800(IMC1g),65535,9877,55658,1,1,15,3,KK2-17_first
533,1,PF3D7_1460600(ISP3),65535,9789,55746,1,2,15,3,KK2-17_first
