sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen5,Buffer_1900,5309,10,4,22
SID_gen5,Buffer_1901,4790,10,5,22
SID_gen5,Buffer_1902,6560,10,6,22
SID_gen5,Buffer_1905,2771,10,1,23
SID_gen5,Buffer_1906,4144,10,2,23
SID_gen5,Buffer_1907,5771,10,3,23
SID_gen5,Buffer_1908,6764,10,4,23
SID_gen5,Buffer_1909,11448,10,5,23
SID_gen5,Buffer_1910,22147,10,6,23
SID_gen5,Buffer_1913,655,10,1,24
SID_gen5,Buffer_1914,1413,10,2,24
SID_gen5,Buffer_1915,2757,10,3,24
SID_gen5,Buffer_1916,5198,10,4,24
SID_gen5,Buffer_1917,10896,10,5,24
SID_gen5,Buffer_1918,22840,10,6,24
SID_gen6,Buffer_2094,-86,11,6,22
SID_gen6,Buffer_2095,5669,11,7,22
SID_gen6,Buffer_2096,-18,11,8,22
SID_gen6,Buffer_2102,-68,11,6,23
SID_gen6,Buffer_2103,10684,11,7,23
SID_gen6,Buffer_2104,-126,11,8,23
SID_gen6,Buffer_2110,-106,11,6,24
SID_gen6,Buffer_2111,13625,11,7,24
SID_gen6,Buffer_2112,-36,11,8,24
SID_gen6,Buffer_2281,-89,12,1,22
SID_gen6,Buffer_2282,-108,12,2,22
SID_gen6,Buffer_2283,371,12,3,22
SID_gen6,Buffer_2284,73,12,4,22
SID_gen6,Buffer_2285,14425,12,5,22
SID_gen6,Buffer_2286,28157,12,6,22
SID_gen6,Buffer_2289,-102,12,1,23
SID_gen6,Buffer_2290,-60,12,2,23
SID_gen6,Buffer_2291,527,12,3,23
SID_gen6,Buffer_2292,36,12,4,23
SID_gen6,Buffer_2293,20123,12,5,23
SID_gen6,Buffer_2294,12330,12,6,23
SID_gen6,Buffer_2297,-132,12,1,24
SID_gen6,Buffer_2298,-89,12,2,24
SID_gen6,Buffer_2299,-89,12,3,24
SID_gen6,Buffer_2300,-4,12,4,24
SID_gen6,Buffer_2301,520,12,5,24
SID_gen6,Buffer_2302,2328,12,6,24
SID_gen7,Buffer_2478,576,13,6,22
SID_gen7,Buffer_2479,4959,13,7,22
SID_gen7,Buffer_2480,1104,13,8,22
SID_gen7,Buffer_2486,183,13,6,23
SID_gen7,Buffer_2487,3797,13,7,23
SID_gen7,Buffer_2488,214,13,8,23
SID_gen7,Buffer_2494,145,13,6,24
SID_gen7,Buffer_2495,2566,13,7,24
SID_gen7,Buffer_2496,26,13,8,24
SID_gen7,Buffer_2665,1706,14,1,22
SID_gen7,Buffer_2666,2572,14,2,22
SID_gen7,Buffer_2667,3391,14,3,22
SID_gen7,Buffer_2668,3509,14,4,22
SID_gen7,Buffer_2669,13824,14,5,22
SID_gen7,Buffer_2670,14949,14,6,22
SID_gen7,Buffer_2673,327,14,1,23
SID_gen7,Buffer_2674,594,14,2,23
SID_gen7,Buffer_2675,871,14,3,23
SID_gen7,Buffer_2676,926,14,4,23
SID_gen7,Buffer_2677,2021,14,5,23
SID_gen7,Buffer_2678,4763,14,6,23
SID_gen7,Buffer_2681,110,14,1,24
SID_gen7,Buffer_2682,141,14,2,24
SID_gen7,Buffer_2683,653,14,3,24
SID_gen7,Buffer_2684,773,14,4,24
SID_gen7,Buffer_2685,11372,14,5,24
SID_gen7,Buffer_2686,22504,14,6,24
SID_gen8,Buffer_2862,384,15,6,22
SID_gen8,Buffer_2863,8917,15,7,22
SID_gen8,Buffer_2864,416,15,8,22
SID_gen8,Buffer_2870,-45,15,6,23
SID_gen8,Buffer_2871,1265,15,7,23
SID_gen8,Buffer_2872,799,15,8,23
SID_gen8,Buffer_2878,-199,15,6,24
SID_gen8,Buffer_2879,1278,15,7,24
SID_gen8,Buffer_2880,-100,15,8,24
SID_gen8,Buffer_3049,733,16,1,22
SID_gen8,Buffer_3050,2518,16,2,22
SID_gen8,Buffer_3051,5601,16,3,22
SID_gen8,Buffer_3052,5971,16,4,22
SID_gen8,Buffer_3053,5671,16,5,22
SID_gen8,Buffer_3054,5932,16,6,22
SID_gen8,Buffer_3057,1608,16,1,23
SID_gen8,Buffer_3058,2689,16,2,23
SID_gen8,Buffer_3059,3331,16,3,23
SID_gen8,Buffer_3060,4519,16,4,23
SID_gen8,Buffer_3061,5877,16,5,23
SID_gen8,Buffer_3062,7060,16,6,23
SID_gen8,Buffer_3065,158,16,1,24
SID_gen8,Buffer_3066,200,16,2,24
SID_gen8,Buffer_3067,843,16,3,24
SID_gen8,Buffer_3068,2221,16,4,24
SID_gen8,Buffer_3069,17827,16,5,24
SID_gen8,Buffer_3070,29568,16,6,24
SID_gen9,Buffer_3246,-112,17,6,22
SID_gen9,Buffer_3247,1406,17,7,22
