.id,sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
KK2-17_first,SID_gen1,1,Landmark,65535,12020,53515,1,1,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,MSP3.6,65535,11348,54187,1,2,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,ETRAMP10.2,65535,11012,54523,1,3,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,GAMA,65535,11493,54042,1,4,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,MSRP4,65535,11686,53849,1,5,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,MSP4,65535,11311,54224,1,6,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,RAMA,65535,9765,55770,1,7,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,ASP,65535,9113,56422,1,8,1,1,KK2-17_first
KK2-17_first,SID_gen1,1,Landmark,65535,16971,48564,1,1,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,MSP3.6,65535,12131,53404,1,2,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,ETRAMP10.2,65535,11816,53719,1,3,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,GAMA,65535,12654,52881,1,4,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,MSRP4,65535,12895,52640,1,5,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,MSP4,65535,13367,52168,1,6,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,RAMA,65535,11684,53851,1,7,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,ASP,65535,10434,55101,1,8,2,2,KK2-17_first
KK2-17_first,SID_gen1,1,Landmark,65535,16911,48624,1,1,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,MSP3.6,65535,12225,53310,1,2,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,ETRAMP10.2,65531,12219,53312,1,3,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,GAMA,65535,12568,52967,1,4,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,MSRP4,65535,12961,52574,1,5,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,MSP4,65535,14061,51474,1,6,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,RAMA,65535,11475,54060,1,7,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,ASP,65535,10357,55178,1,8,3,3,KK2-17_first
KK2-17_first,SID_gen1,1,PFD1130W,65535,13476,52059,1,1,4,1,KK2-17_first
KK2-17_first,SID_gen1,1,EBA140,65535,12552,52983,1,2,4,1,KK2-17_first
KK2-17_first,SID_gen1,1,MSRP2,17041,12589,4452,1,3,4,1,KK2-17_first
KK2-17_first,SID_gen1,1,MSRP5,29702,12225,17477,1,4,4,1,KK2-17_first
