.id,sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
KK2-05_first,533,1,PF1400044,65535,23902,41633,1,1,9,3,KK2-05_first
KK2-05_first,533,1,MSP1,65535,33601,31934,1,2,9,3,KK2-05_first
KK2-05_first,533,1,RON6,65535,29156,36379,1,3,9,3,KK2-05_first
KK2-05_first,533,1,MSP9,65535,23223,42312,1,4,9,3,KK2-05_first
KK2-05_first,533,1,PTEX150,65535,19301,46234,1,5,9,3,KK2-05_first
KK2-05_first,533,1,SERA7,65535,15253,50282,1,6,9,3,KK2-05_first
KK2-05_first,533,1,MSP2,65535,14830,50705,1,7,9,3,KK2-05_first
KK2-05_first,533,1,SERA3,65535,13892,51643,1,8,9,3,KK2-05_first
KK2-05_first,533,1,P41,65535,19379,46156,1,1,10,1,KK2-05_first
KK2-05_first,533,1,RON3,65535,25173,40362,1,2,10,1,KK2-05_first
KK2-05_first,533,1,PF92,65535,29431,36104,1,3,10,1,KK2-05_first
KK2-05_first,533,1,MSRP1,65535,33378,32157,1,4,10,1,KK2-05_first
KK2-05_first,533,1,EBA175,65535,22223,43312,1,5,10,1,KK2-05_first
KK2-05_first,533,1,TLP,65535,16095,49440,1,6,10,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0606800,58290,14220,44070,1,7,10,1,KK2-05_first
KK2-05_first,533,1,PFA0135W,65535,13413,52122,1,8,10,1,KK2-05_first
KK2-05_first,533,1,P41,64352,16851,47501,1,1,11,2,KK2-05_first
KK2-05_first,533,1,RON3,65535,18864,46671,1,2,11,2,KK2-05_first
KK2-05_first,533,1,PF92,65535,26547,38988,1,3,11,2,KK2-05_first
KK2-05_first,533,1,MSRP1,65535,38530,27005,1,4,11,2,KK2-05_first
KK2-05_first,533,1,EBA175,65535,24437,41098,1,5,11,2,KK2-05_first
KK2-05_first,533,1,TLP,65535,16177,49358,1,6,11,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0606800,65535,13611,51924,1,7,11,2,KK2-05_first
KK2-05_first,533,1,PFA0135W,65535,12500,53035,1,8,11,2,KK2-05_first
KK2-05_first,533,1,P41,64041,15546,48495,1,1,12,3,KK2-05_first
KK2-05_first,533,1,RON3,65535,16712,48823,1,2,12,3,KK2-05_first
KK2-05_first,533,1,PF92,65535,21743,43792,1,3,12,3,KK2-05_first
KK2-05_first,533,1,MSRP1,65535,34964,30571,1,4,12,3,KK2-05_first
KK2-05_first,533,1,EBA175,65535,24431,41104,1,5,12,3,KK2-05_first
KK2-05_first,533,1,TLP,65535,15747,49788,1,6,12,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0606800,52526,13007,39519,1,7,12,3,KK2-05_first
KK2-05_first,533,1,PFA0135W,65535,11783,53752,1,8,12,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0525800(IMC1g),65535,14132,51403,1,1,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1460600(ISP3),65535,14840,50695,1,2,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1455300,65535,16779,48756,1,3,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1025300,21838,19360,2478,1,4,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0925900,52862,16948,35914,1,5,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0831400,65535,13591,51944,1,6,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0730800.2,65535,12782,52753,1,7,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1407800(PM4),12787,11624,1163,1,8,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0525800(IMC1g),65535,13214,52321,1,1,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1460600(ISP3),65535,13758,51777,1,2,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1455300,65535,14258,51277,1,3,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1025300,14525,14111,414,1,4,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0925900,47015,13191,33824,1,5,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0831400,65535,12289,53246,1,6,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0730800.2,65535,13505,52030,1,7,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1407800(PM4),13340,12900,440,1,8,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0525800(IMC1g),65535,12603,52932,1,1,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1460600(ISP3),65535,12951,52584,1,2,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1455300,65535,13189,52346,1,3,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1025300,12840,12642,198,1,4,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0925900,54768,12018,42750,1,5,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0831400,65535,11925,53610,1,6,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0730800.2,65535,13475,52060,1,7,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1407800(PM4),14472,14050,422,1,8,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0629500_SEG2,65535,12437,53098,1,1,16,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1345100,65535,12925,52610,1,2,16,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0206200,65535,12858,52677,1,3,16,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1105800,65535,12181,53354,1,4,16,1,KK2-05_first
KK2-05_first,533,1,PTRAMP,65535,11793,53742,1,5,16,1,KK2-05_first
KK2-05_first,533,1,EBA181,65535,11909,53626,1,6,16,1,KK2-05_first
KK2-05_first,533,1,CD4TAG,37860,12492,25368,1,7,16,1,KK2-05_first
KK2-05_first,533,1,SERA2,65535,14406,51129,1,8,16,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0629500_SEG2,65535,12274,53261,1,1,17,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1345100,65535,12893,52642,1,2,17,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0206200,65535,12647,52888,1,3,17,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1105800,65535,11950,53585,1,4,17,2,KK2-05_first
KK2-05_first,533,1,PTRAMP,65535,11575,53960,1,5,17,2,KK2-05_first
KK2-05_first,533,1,EBA181,65535,11818,53717,1,6,17,2,KK2-05_first
KK2-05_first,533,1,CD4TAG,38623,12082,26541,1,7,17,2,KK2-05_first
KK2-05_first,533,1,SERA2,65535,13885,51650,1,8,17,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0629500_SEG2,65535,12503,53032,1,1,18,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1345100,65535,13124,52411,1,2,18,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0206200,65535,12593,52942,1,3,18,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1105800,65535,11627,53908,1,4,18,3,KK2-05_first
KK2-05_first,533,1,PTRAMP,65535,11409,54126,1,5,18,3,KK2-05_first
KK2-05_first,533,1,EBA181,65535,11705,53830,1,6,18,3,KK2-05_first
KK2-05_first,533,1,CD4TAG,38267,12002,26265,1,7,18,3,KK2-05_first
KK2-05_first,533,1,SERA2,65535,13576,51959,1,8,18,3,KK2-05_first
KK2-05_first,533,1,MSP1Block2K1flank,65535,13826,51709,1,1,19,1,KK2-05_first
KK2-05_first,533,1,MSP1Block2Wellcomefull,65535,14911,50624,1,2,19,1,KK2-05_first
KK2-05_first,533,1,MSP1Block2MAD20full,65535,13371,52164,1,3,19,1,KK2-05_first
KK2-05_first,533,1,MSP3K1,28994,11611,17383,1,4,19,1,KK2-05_first
KK2-05_first,533,1,MSPDBLC-terminal,65535,11267,54268,1,5,19,1,KK2-05_first
KK2-05_first,533,1,Surfin4.2K1,65535,11547,53988,1,6,19,1,KK2-05_first
KK2-05_first,533,1,MSPDBLN-terminal,65535,12080,53455,1,7,19,1,KK2-05_first
KK2-05_first,533,1,Surfin4.2Conserved,65535,13304,52231,1,8,19,1,KK2-05_first
KK2-05_first,533,1,MSP1Block2K1flank,65535,14171,51364,1,1,20,2,KK2-05_first
KK2-05_first,533,1,MSP1Block2Wellcomefull,65535,15154,50381,1,2,20,2,KK2-05_first
KK2-05_first,533,1,MSP1Block2MAD20full,65535,13961,51574,1,3,20,2,KK2-05_first
KK2-05_first,533,1,MSP3K1,28507,11838,16669,1,4,20,2,KK2-05_first
KK2-05_first,533,1,MSPDBLC-terminal,65535,11305,54230,1,5,20,2,KK2-05_first
KK2-05_first,533,1,Surfin4.2K1,65535,11460,54075,1,6,20,2,KK2-05_first
KK2-05_first,533,1,MSPDBLN-terminal,65535,12047,53488,1,7,20,2,KK2-05_first
KK2-05_first,533,1,Surfin4.2Conserved,65535,12653,52882,1,8,20,2,KK2-05_first
KK2-05_first,533,1,MSP1Block2K1flank,65535,14607,50928,1,1,21,3,KK2-05_first
KK2-05_first,533,1,MSP1Block2Wellcomefull,65535,16254,49281,1,2,21,3,KK2-05_first
KK2-05_first,533,1,MSP1Block2MAD20full,65535,13946,51589,1,3,21,3,KK2-05_first
KK2-05_first,533,1,MSP3K1,27343,12388,14955,1,4,21,3,KK2-05_first
KK2-05_first,533,1,MSPDBLC-terminal,65535,12037,53498,1,5,21,3,KK2-05_first
KK2-05_first,533,1,Surfin4.2K1,65535,11634,53901,1,6,21,3,KK2-05_first
KK2-05_first,533,1,MSPDBLN-terminal,65535,11687,53848,1,7,21,3,KK2-05_first
KK2-05_first,533,1,Surfin4.2Conserved,65535,11888,53647,1,8,21,3,KK2-05_first
KK2-05_first,533,1,Landmark,65535,20505,45030,1,1,22,4,KK2-05_first
KK2-05_first,533,1,PfD1160W18,65535,23247,42288,1,2,22,1,KK2-05_first
KK2-05_first,533,1,PfD1160W19,65535,14905,50630,1,3,22,1,KK2-05_first
KK2-05_first,533,1,MSP2CH15019DBL2,65535,13008,52527,1,4,22,1,KK2-05_first
KK2-05_first,533,1,GST,62750,14628,48122,1,5,22,1,KK2-05_first
KK2-05_first,533,1,Buffer,12931,12000,931,1,6,22,1,KK2-05_first
KK2-05_first,533,1,Buffer,19838,11178,8660,1,7,22,2,KK2-05_first
KK2-05_first,533,1,Buffer,11740,11011,729,1,8,22,3,KK2-05_first
KK2-05_first,533,1,Landmark,65535,25225,40310,1,1,23,5,KK2-05_first
KK2-05_first,533,1,PfD1160W18,65535,28496,37039,1,2,23,2,KK2-05_first
KK2-05_first,533,1,PfD1160W19,65535,13276,52259,1,3,23,2,KK2-05_first
KK2-05_first,533,1,MSP2CH15019DBL2,65535,12974,52561,1,4,23,2,KK2-05_first
KK2-05_first,533,1,GST,59066,14192,44874,1,5,23,2,KK2-05_first
KK2-05_first,533,1,Buffer,14124,11354,2770,1,6,23,4,KK2-05_first
KK2-05_first,533,1,Buffer,22485,10642,11843,1,7,23,5,KK2-05_first
KK2-05_first,533,1,Buffer,11094,10482,612,1,8,23,6,KK2-05_first
KK2-05_first,533,1,Landmark,65535,18446,47089,1,1,24,6,KK2-05_first
KK2-05_first,533,1,PfD1160W18,65535,14950,50585,1,2,24,3,KK2-05_first
KK2-05_first,533,1,PfD1160W19,65535,11207,54328,1,3,24,3,KK2-05_first
