ATF	1												
29	31												
Type=GenePix Export 3													
DateTime=2017/09/04 10:05:51													
Settings=													
GalFile=C:\Users\rkimathi\Desktop\GAL FILE LATEST-PRE-SCAN.gal													
PixelSize=10													
Wavelengths=635													
ImageFiles=Z:\Multicenter study\4_9_2017\prescan\BRB001.tif 0													
NormalizationMethod=None													
NormalizationFactors=1													
JpegImage=													
StdDev=Type 1													
FeatureType=Circular													
Barcode=													
BackgroundSubtraction=LocalFeature													
"ImageOrigin=0, 0"													
"JpegOrigin=1660, 1840"													
Creator=GenePix Pro 7.3.0.0													
Scanner=GenePix 4300 [141110]													
FocusPosition=0													
Temperature=0													
LinesAveraged=1													
Comment=													
PMTGain=400													
ScanPower=100													
LaserPower=0.69													
Filters=Standard Red													
0	0	0	1	8	8	SERA3	1L3	724	706	706	0.477	18	64
0	0	0	1	1	9	PF1400044	1N1	794	725	725	0.921	69	65
0	0	0	1	2	9	MSP1	1J3	727	738	738	-0.18	-11	66
0	0	0	1	3	9	RON6	1P3	767	735	735	0.607	32	67
0	0	0	1	4	9	MSP9	1L5	751	728	728	0.491	23	68
0	0	0	1	5	9	PTEX150	1N5	740	718	718	0.442	22	69
0	0	0	1	6	9	SERA7	1J1	711	700	700	0.304	11	70
0	0	0	1	7	9	MSP2	1P1	694	694	694	0.071	0	71
0	0	0	1	8	9	SERA3	1L3	701	697	697	0.159	4	72
0	0	0	1	1	10	P41	1N2	768	705	705	0.93	63	73
0	0	0	1	2	10	RON3	1J4	748	719	719	0.5	29	74
0	0	0	1	3	10	PF92	1P4	757	713	713	0.772	44	75
0	0	0	1	4	10	MSRP1	1L6	682	700	700	-0.196	-18	76
0	0	0	1	5	10	EBA175	1N6	715	695	695	0.429	20	77
0	0	0	1	6	10	TLP	1J2	704	686	686	0.395	18	78
0	0	0	1	7	10	PF3D7_0606800	1P2	681	677	677	0.049	4	79
0	0	0	1	8	10	PFA0135W	1L4	679	677	677	0	2	80
0	0	0	1	1	11	P41	1N2	743	693	693	0.724	50	81
0	0	0	1	2	11	RON3	1J4	737	710	710	0.538	27	82
0	0	0	1	3	11	PF92	1P4	731	701	701	0.635	30	83
0	0	0	1	4	11	MSRP1	1L6	710	686	686	0.417	24	84
0	0	0	1	5	11	EBA175	1N6	698	686	686	0.333	12	85
0	0	0	1	6	11	TLP	1J2	688	680	680	0.146	8	86
0	0	0	1	7	11	PF3D7_0606800	1P2	666	669	669	-0.103	-3	87
0	0	0	1	8	11	PFA0135W	1L4	674	665	665	0.158	9	88
0	0	0	1	1	12	P41	1N2	758	694	694	1.073	64	89
0	0	0	1	2	12	RON3	1J4	744	711	711	0.653	33	90
0	0	0	1	3	12	PF92	1P4	713	698	698	0.306	15	91
0	0	0	1	4	12	MSRP1	1L6	697	687	687	0.227	10	92
0	0	0	1	5	12	EBA175	1N6	680	682	682	0	-2	93
0	0	0	1	6	12	TLP	1J2	680	675	675	0.026	5	94
0	0	0	1	7	12	PF3D7_0606800	1P2	681	671	671	0.243	10	95
0	0	0	1	8	12	PFA0135W	1L4	686	670	670	0.342	16	96
