v1,v2,barcode
1,KK1,KK2-06_R
2,KK2,KK2-06_R
3,KK3,KK2-06_R
4,KK4,KK2-06_R
5,KK5,KK2-06_R
6,KK6,KK2-06_R
7,KK7,KK2-06_R
8,KK8,KK2-06_R
9,KK9,KK2-06_R
10,KK10,KK2-06_R
11,KK11,KK2-06_R
12,KK12,KK2-06_R
13,KK13,KK2-06_R
14,KK14,KK2-06_R
15,KK15,KK2-06_R
16,KK16,KK2-06_R
17,KK17,KK2-06_R
18,KK18,KK2-06_R
19,BLANK,KK2-06_R
20,PHIS,KK2-06_R
21,UK22,KK2-06_R
