ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2017/08/29 15:50:50"
"Settings="
"GalFile=Z:\Multicenter study\gal file\gal file_4`.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=Z:\Multicenter study\28_08-2017\datascan_28-8\KK2-18.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/594)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=1720, 830"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4300 [141110]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=0.65"
"Filters=Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/594)"	"Ratio of Means (635/594)"	"Median of Ratios (635/594)"	"Mean of Ratios (635/594)"	"Ratios SD (635/594)"	"Rgn Ratio (635/594)"	"Rgn R2 (635/594)"	"Log Ratio (635/594)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/594)"	"Sum of Means (635/594)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	3	2	"ETRAMP10.2"	"1H3"	2690	1370	150	2695	3317	2432	73	1169	1169	4753	13403	281	2	0	0	517510	-0.107	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1526	2148	1526	2148	156	872	100	11
0	0	0	1	4	2	"GAMA"	"1D5"	2920	1370	150	6223	7066	4218	59	1023	1023	4645	13422	288	3	1	0	1102323	0.180	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5200	6043	5200	6043	156	872	100	12
0	0	0	1	5	2	"MSRP4"	"1F5"	3150	1370	150	14831	15661	5338	34	918	918	1158	1084	93	100	100	0	2443039	13.379	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	13913	14743	13913	14743	156	872	100	13
0	0	0	1	6	2	"MSP4"	"1B1"	3380	1370	150	9169	9642	3593	37	909	909	1604	1578	98	100	99	0	1504219	5.094	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8260	8733	8260	8733	156	872	100	14
0	0	0	1	7	2	"RAMA"	"1H1"	3610	1370	150	3412	4554	3878	85	888	888	1692	1859	109	67	29	0	710405	1.540	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2524	3666	2524	3666	156	872	100	15
0	0	0	1	8	2	"ASP"	"1D3"	3840	1370	150	9739	11850	6218	52	853	853	1026	696	67	100	100	0	1848648	15.552	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8886	10997	8886	10997	156	854	100	16
0	0	0	1	1	3	"Landmark"	"1F1"	2230	1600	150	65535	65535	0	0	4278	4278	12617	19901	157	100	100	100	10223460	2.659	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	61257	61257	61257	61257	156	972	100	17
0	0	0	1	2	3	"MSP3.6"	"1B3"	2460	1600	150	2452	3013	2028	67	1255	1255	5409	14005	258	1	0	0	470105	-0.171	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1197	1758	1197	1758	156	872	100	18
0	0	0	1	3	3	"ETRAMP10.2"	"1H3"	2690	1600	150	2026	2723	2636	96	1062	1062	1241	883	71	60	19	0	424860	1.678	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	964	1661	964	1661	156	872	100	19
0	0	0	1	4	3	"GAMA"	"1D5"	2920	1600	150	5884	6452	3456	53	972	972	1171	888	75	100	96	0	1006534	5.947	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4912	5480	4912	5480	156	872	100	20
0	0	0	1	5	3	"MSRP4"	"1F5"	3150	1600	150	13043	13837	4745	34	916	916	1104	881	79	100	100	0	2158591	14.453	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	12127	12921	12127	12921	156	872	100	21
0	0	0	1	6	3	"MSP4"	"1B1"	3380	1600	150	9085	11329	10143	89	875	875	1051	885	84	100	100	1	1767342	11.614	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8210	10454	8210	10454	156	872	100	22
0	0	0	1	7	3	"RAMA"	"1H1"	3610	1600	150	2959	3394	1547	45	860	860	1017	895	88	100	64	0	529501	2.656	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2099	2534	2099	2534	156	872	100	23
0	0	0	1	8	3	"ASP"	"1D3"	3840	1600	150	8874	10309	5818	56	860	860	1053	850	80	99	97	0	1608142	10.889	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8014	9449	8014	9449	156	854	100	24
0	0	0	1	1	4	"PFD1130W"	"1F2"	2230	1830	150	2746	3043	902	29	1148	1148	4735	12516	264	0	0	0	474661	-0.135	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1598	1895	1598	1895	156	972	100	25
0	0	0	1	2	4	"EBA 140"	"1B4"	2460	1830	150	1212	1306	365	27	1028	1028	1264	1354	107	2	1	0	203742	0.031	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	184	278	184	278	156	872	100	26
0	0	0	1	3	4	"MSRP2"	"1H4"	2690	1830	150	2224	2397	844	35	985	985	1073	409	38	94	76	0	373935	3.237	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1239	1412	1239	1412	156	872	100	27
0	0	0	1	4	4	"MSRP5"	"1D6"	2920	1830	150	1196	1627	1261	77	946	946	1060	525	49	24	14	0	253736	1.080	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	250	681	250	681	156	872	100	28
0	0	0	1	5	4	"P34"	"1F6"	3150	1830	150	1341	1683	1016	60	945	945	3389	11167	329	0	0	0	262470	-0.153	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	396	738	396	738	156	872	100	29
0	0	0	1	6	4	"MSP8"	"1B2"	3380	1830	150	4629	5546	3480	62	900	900	3473	11264	324	4	1	0	865147	0.184	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3729	4646	3729	4646	156	872	100	30
0	0	0	1	7	4	"P12"	"1H2"	3610	1830	150	1884	2423	1842	76	864	864	1210	2227	184	17	5	0	377995	0.545	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1020	1559	1020	1559	156	872	100	31
0	0	0	1	8	4	"MSP6"	"1D4"	3840	1830	150	3409	4316	3852	89	882	882	1101	1125	102	96	55	0	673295	2.858	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2527	3434	2527	3434	156	854	100	32
0	0	0	1	1	5	"PFD1130W"	"1F2"	2230	2060	150	3044	3859	3194	82	976	976	1146	1372	119	78	29	0	602039	1.977	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2068	2883	2068	2883	156	972	100	33
0	0	0	1	2	5	"EBA 140"	"1B4"	2460	2060	150	1064	1144	254	22	969	969	3186	10767	337	0	0	0	178442	-0.190	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	95	175	95	175	156	872	100	34
0	0	0	1	3	5	"MSRP2"	"1H4"	2690	2060	150	1803	1954	582	29	974	974	2289	8073	352	0	0	0	304768	-0.041	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	829	980	829	980	156	872	100	35
0	0	0	1	4	5	"MSRP5"	"1D6"	2920	2060	150	1537	2545	2701	106	961	961	1080	505	46	58	33	0	397055	2.901	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	576	1584	576	1584	156	872	100	36
0	0	0	1	5	5	"P34"	"1F6"	3150	2060	150	1411	1846	1265	68	972	972	4287	13162	307	0	0	0	288017	-0.185	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	439	874	439	874	156	872	100	37
0	0	0	1	6	5	"MSP8"	"1B2"	3380	2060	150	5553	7620	6610	86	905	905	4465	13275	297	10	3	0	1188672	0.238	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4648	6715	4648	6715	156	872	100	38
0	0	0	1	7	5	"P12"	"1H2"	3610	2060	150	1950	2725	3022	110	875	875	1388	2557	184	17	4	0	425090	0.523	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1075	1850	1075	1850	156	872	100	39
0	0	0	1	8	5	"MSP6"	"1D4"	3840	2060	150	3289	4374	3887	88	903	903	1196	1540	128	76	39	0	682273	2.064	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2386	3471	2386	3471	156	854	100	40
0	0	0	1	1	6	"PFD1130W"	"1F2"	2230	2290	150	2720	3387	2492	73	1036	1036	1147	1323	115	65	21	0	528423	1.693	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1684	2351	1684	2351	156	972	100	41
0	0	0	1	2	6	"EBA 140"	"1B4"	2460	2290	150	951	1783	4518	253	903	903	3431	11505	335	1	1	0	278194	-0.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	48	880	48	880	156	872	100	42
0	0	0	1	3	6	"MSRP2"	"1H4"	2690	2290	150	892	1627	3024	185	885	885	3338	11447	342	3	0	0	253735	-0.149	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	7	742	7	742	156	872	100	43
0	0	0	1	4	6	"MSRP5"	"1D6"	2920	2290	150	1375	1879	1658	88	872	872	975	492	50	51	26	0	293095	1.837	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	503	1007	503	1007	156	872	100	44
0	0	0	1	5	6	"P34"	"1F6"	3150	2290	150	1274	1926	2360	122	840	840	919	513	55	45	21	0	300476	1.963	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	434	1086	434	1086	156	872	100	45
0	0	0	1	6	6	"MSP8"	"1B2"	3380	2290	150	4296	4911	2505	51	828	828	903	403	44	99	99	0	766110	9.945	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3468	4083	3468	4083	156	872	100	46
0	0	0	1	7	6	"P12"	"1H2"	3610	2290	150	1806	2565	2618	102	845	845	990	928	93	51	21	0	400093	1.697	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	961	1720	961	1720	156	872	100	47
0	0	0	1	8	6	"MSP6"	"1D4"	3840	2290	150	2918	3225	1801	55	888	888	1175	1424	121	72	26	0	503119	1.440	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2030	2337	2030	2337	156	854	100	48
0	0	0	1	1	7	"PF1400044"	"1N1"	2230	2520	150	3376	4299	3947	91	938	938	1043	553	53	97	92	0	670636	5.888	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2438	3361	2438	3361	156	972	100	49
0	0	0	1	2	7	"MSP1"	"1J3"	2460	2520	150	3854	4541	3174	69	847	847	911	433	47	100	100	0	708401	8.383	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3007	3694	3007	3694	156	872	100	50
0	0	0	1	3	7	"RON6"	"1P3"	2690	2520	150	3297	4963	6063	122	828	828	854	227	26	99	96	0	774158	18.101	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2469	4135	2469	4135	156	872	100	51
0	0	0	1	4	7	"MSP9"	"1L5"	2920	2520	150	2007	2755	2694	97	828	828	856	179	20	98	96	0	429813	10.609	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1179	1927	1179	1927	156	872	100	52
0	0	0	1	5	7	"PTEX150"	"1N5"	3150	2520	150	15622	17368	9976	57	803	803	853	422	49	100	100	1	2709363	39.135	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	14819	16565	14819	16565	156	872	100	53
0	0	0	1	6	7	"SERA7"	"1J1"	3380	2520	150	4345	5514	4166	75	795	795	860	504	58	100	100	0	860114	9.234	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3550	4719	3550	4719	156	872	100	54
0	0	0	1	7	7	"MSP2"	"1P1"	3610	2520	150	19810	21309	9729	45	818	818	858	337	39	100	100	0	3324263	60.685	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	18992	20491	18992	20491	156	872	100	55
0	0	0	1	8	7	"SERA3"	"1L3"	3840	2520	150	6325	6879	3341	48	838	838	905	374	41	100	100	0	1073046	15.973	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5487	6041	5487	6041	156	854	100	56
0	0	0	1	1	8	"PF1400044"	"1N1"	2230	2750	150	3033	3288	2030	61	846	846	943	638	67	93	82	0	512898	3.676	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2187	2442	2187	2442	156	972	100	57
0	0	0	1	2	8	"MSP1"	"1J3"	2460	2750	150	3563	3806	1684	44	843	843	933	446	47	100	100	0	593808	6.442	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2720	2963	2720	2963	156	872	100	58
0	0	0	1	3	8	"RON6"	"1P3"	2690	2750	150	3665	8832	13780	156	841	841	873	232	26	99	97	2	1377768	34.306	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2824	7991	2824	7991	156	872	100	59
0	0	0	1	4	8	"MSP9"	"1L5"	2920	2750	150	2673	3929	3821	97	844	844	866	177	20	99	97	0	612937	17.305	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1829	3085	1829	3085	156	872	100	60
0	0	0	1	5	8	"PTEX150"	"1N5"	3150	2750	150	15545	15646	6304	40	820	820	860	319	37	100	100	0	2440752	46.351	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	14725	14826	14725	14826	156	872	100	61
0	0	0	1	6	8	"SERA7"	"1J1"	3380	2750	150	4174	5001	3743	74	804	804	864	583	67	99	97	0	780113	7.096	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3370	4197	3370	4197	156	872	100	62
0	0	0	1	7	8	"MSP2"	"1P1"	3610	2750	150	19931	19769	7619	38	801	801	848	509	60	100	100	0	3083993	37.173	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	19130	18968	19130	18968	156	872	100	63
0	0	0	1	8	8	"SERA3"	"1L3"	3840	2750	150	6574	7356	4580	62	803	803	823	118	14	100	99	0	1147494	55.364	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5771	6553	5771	6553	156	854	100	64
0	0	0	1	1	9	"PF1400044"	"1N1"	2230	2980	150	2960	3728	2747	73	822	822	894	551	61	96	88	0	581621	5.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2138	2906	2138	2906	156	972	100	65
0	0	0	1	2	9	"MSP1"	"1J3"	2460	2980	150	3596	4618	3228	69	842	842	893	240	26	100	100	0	720446	15.521	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2754	3776	2754	3776	156	872	100	66
0	0	0	1	3	9	"RON6"	"1P3"	2690	2980	150	2337	2962	2655	89	889	889	1085	716	65	87	51	0	462025	2.622	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1448	2073	1448	2073	156	872	100	67
0	0	0	1	4	9	"MSP9"	"1L5"	2920	2980	150	3534	5402	5247	97	931	931	2097	5824	277	23	9	0	842740	0.567	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2603	4471	2603	4471	156	872	100	68
0	0	0	1	5	9	"PTEX150"	"1N5"	3150	2980	150	13008	14105	6976	49	859	859	1048	1130	107	98	95	0	2200332	11.555	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	12149	13246	12149	13246	156	872	100	69
0	0	0	1	6	9	"SERA7"	"1J1"	3380	2980	150	3693	4487	3987	88	824	824	927	648	69	90	85	0	699900	5.494	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2869	3663	2869	3663	156	872	100	70
0	0	0	1	7	9	"MSP2"	"1P1"	3610	2980	150	13107	13585	6005	44	800	800	887	591	66	100	99	0	2119198	21.486	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	12307	12785	12307	12785	156	872	100	71
0	0	0	1	8	9	"SERA3"	"1L3"	3840	2980	150	5119	5883	4662	79	788	788	919	861	93	88	87	0	917690	5.765	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4331	5095	4331	5095	156	854	100	72
0	0	0	1	1	10	"P41"	"1N2"	2230	3210	150	1757	2659	2338	87	815	815	1215	3996	328	13	4	0	414759	0.361	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	942	1844	942	1844	156	972	100	73
0	0	0	1	2	10	"RON3"	"1J4"	2460	3210	150	3875	4953	3955	79	912	912	1100	383	34	99	95	0	772707	10.060	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2963	4041	2963	4041	156	872	100	74
0	0	0	1	3	10	"PF92"	"1P4"	2690	3210	150	6200	8547	8857	103	1737	1737	2589	4593	177	49	17	0	1333261	1.297	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4463	6810	4463	6810	156	872	100	75
0	0	0	1	4	10	"MSRP1"	"1L6"	2920	3210	150	65535	65357	1222	1	1636	1636	3664	7705	210	100	100	97	10195654	8.007	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63899	63721	63899	63721	156	872	100	76
0	0	0	1	5	10	"EBA175"	"1N6"	3150	3210	150	2756	3841	3431	89	912	912	1187	1186	99	76	31	0	599251	2.238	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1844	2929	1844	2929	156	872	100	77
0	0	0	1	6	10	"TLP"	"1J2"	3380	3210	150	5851	6435	3960	61	823	823	869	298	34	99	96	0	1003874	18.678	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5028	5612	5028	5612	156	872	100	78
0	0	0	1	7	10	"PF3D7_0606800"	"1P2"	3610	3210	150	1673	3949	8119	205	792	792	827	257	31	88	67	0	616008	12.148	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	881	3157	881	3157	156	872	100	79
0	0	0	1	8	10	"PFA0135W"	"1L4"	3840	3210	150	2587	3793	4165	109	785	785	906	851	93	83	58	0	591782	3.392	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1802	3008	1802	3008	156	854	100	80
0	0	0	1	1	11	"P41"	"1N2"	2230	3440	150	1260	2395	3983	166	811	811	1181	3987	337	9	5	0	373695	0.304	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	449	1584	449	1584	156	972	100	81
0	0	0	1	2	11	"RON3"	"1J4"	2460	3440	150	4448	5795	4561	78	1076	1076	1320	596	45	99	97	0	903991	7.508	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3372	4719	3372	4719	156	872	100	82
0	0	0	1	3	11	"PF92"	"1P4"	2690	3440	150	6028	7295	5977	81	2106	2106	3663	6820	186	15	5	0	1138007	0.533	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3922	5189	3922	5189	156	872	100	83
0	0	0	1	4	11	"MSRP1"	"1L6"	2920	3440	150	65535	65230	2099	3	2253	2253	4553	8454	185	100	100	96	10175889	7.177	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63282	62977	63282	62977	156	872	100	84
0	0	0	1	5	11	"EBA175"	"1N6"	3150	3440	150	3412	4592	3829	83	939	939	1108	554	50	92	85	0	716283	6.289	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2473	3653	2473	3653	156	872	100	85
0	0	0	1	6	11	"TLP"	"1J2"	3380	3440	150	6425	6696	3689	55	813	813	831	182	21	99	97	0	1044520	32.225	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5612	5883	5612	5883	156	872	100	86
0	0	0	1	7	11	"PF3D7_0606800"	"1P2"	3610	3440	150	1603	2176	2418	111	775	775	785	101	12	91	85	0	339463	13.772	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	828	1401	828	1401	156	872	100	87
0	0	0	1	8	11	"PFA0135W"	"1L4"	3840	3440	150	2514	3193	3034	95	779	779	795	166	20	91	87	0	498171	14.446	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1735	2414	1735	2414	156	854	100	88
0	0	0	1	1	12	"P41"	"1N2"	2230	3670	150	1559	2200	2150	97	805	805	820	110	13	88	85	0	343148	12.545	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	754	1395	754	1395	156	972	100	89
0	0	0	1	2	12	"RON3"	"1J4"	2460	3670	150	4125	4903	2940	59	1046	1046	1253	545	43	99	96	0	764853	6.697	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3079	3857	3079	3857	156	872	100	90
0	0	0	1	3	12	"PF92"	"1P4"	2690	3670	150	5035	6247	5801	92	2107	2107	3634	6856	188	10	3	0	974547	0.381	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2928	4140	2928	4140	156	872	100	91
0	0	0	1	4	12	"MSRP1"	"1L6"	2920	3670	150	65535	65442	816	1	2176	2176	4285	8214	191	100	100	98	10208943	7.445	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63359	63266	63359	63266	156	872	100	92
0	0	0	1	5	12	"EBA175"	"1N6"	3150	3670	150	2835	4506	5538	122	915	915	1102	624	56	88	70	0	702943	5.455	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1920	3591	1920	3591	156	872	100	93
0	0	0	1	6	12	"TLP"	"1J2"	3380	3670	150	4433	5030	3548	70	811	811	833	153	18	92	91	0	784646	27.431	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3622	4219	3622	4219	156	872	100	94
0	0	0	1	7	12	"PF3D7_0606800"	"1P2"	3610	3670	150	1456	2060	2927	142	770	770	790	150	18	88	81	0	321329	8.467	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	686	1290	686	1290	156	872	100	95
0	0	0	1	8	12	"PFA0135W"	"1L4"	3840	3670	150	2416	3667	4081	111	770	770	780	78	10	95	93	0	572071	37.013	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1646	2897	1646	2897	156	854	100	96
0	0	0	1	1	13	"PF3D7_0525800 (IMC1g)"	"1F7"	2230	3900	150	14206	13912	6909	49	818	818	823	57	6	100	100	0	2170247	229.632	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	13388	13094	13388	13094	156	972	100	97
0	0	0	1	2	13	"PF3D7_1460600 (ISP3)"	"1B9"	2460	3900	150	5389	5823	3424	58	918	918	1049	290	27	100	99	0	908393	16.462	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4471	4905	4471	4905	156	872	100	98
0	0	0	1	3	13	"PF3D7_1455300"	"1H9"	2690	3900	150	4320	5953	5089	85	1257	1257	1533	913	59	86	74	0	928670	4.841	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3063	4696	3063	4696	156	872	100	99
0	0	0	1	4	13	"PF3D7_1025300"	"1D11"	2920	3900	150	939	956	103	10	953	953	2011	4671	232	0	0	0	149068	-0.226	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-14	3	-14	3	156	872	100	100
