ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2017/08/29 15:50:50"
"Settings="
"GalFile=Z:\Multicenter study\gal file\gal file_4`.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=Z:\Multicenter study\28_08-2017\datascan_28-8\KK2-18.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/594)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=1720, 830"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4300 [141110]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=0.65"
"Filters=Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/594)"	"Ratio of Means (635/594)"	"Median of Ratios (635/594)"	"Mean of Ratios (635/594)"	"Ratios SD (635/594)"	"Rgn Ratio (635/594)"	"Rgn R2 (635/594)"	"Log Ratio (635/594)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/594)"	"Sum of Means (635/594)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	1	1	"Landmark"	"1F1"	2230	1140	150	65535	65535	0	0	3404	3404	9717	17087	175	100	100	100	10223460	3.267	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	62131	62131	62131	62131	156	1072	100	1
0	0	0	1	2	1	"MSP3.6"	"1B3"	2460	1140	150	4154	5762	4878	84	1221	1221	5779	14798	256	3	1	0	898934	-0.001	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2933	4541	2933	4541	156	972	100	2
0	0	0	1	3	1	"ETRAMP10.2"	"1H3"	2690	1140	150	2475	4083	4218	103	1030	1030	4176	12759	305	5	0	0	636916	-0.007	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1445	3053	1445	3053	156	972	100	3
0	0	0	1	4	1	"GAMA"	"1D5"	2920	1140	150	6193	6791	3594	52	928	928	3912	12487	319	5	1	0	1059457	0.231	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5265	5863	5265	5863	156	972	100	4
0	0	0	1	5	1	"MSRP4"	"1F5"	3150	1140	150	14080	15793	6150	38	879	879	1034	954	92	100	100	0	2463641	15.471	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	13201	14914	13201	14914	156	972	100	5
0	0	0	1	6	1	"MSP4"	"1B1"	3380	1140	150	10792	11566	4577	39	885	885	1599	1721	107	100	100	0	1804335	5.791	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	9907	10681	9907	10681	156	972	100	6
0	0	0	1	7	1	"RAMA"	"1H1"	3610	1140	150	3096	4044	3116	77	837	837	1511	1657	109	67	28	0	630809	1.529	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2259	3207	2259	3207	156	972	100	7
0	0	0	1	8	1	"ASP"	"1D3"	3840	1140	150	8914	10676	5158	48	810	810	896	468	52	100	100	0	1665421	20.897	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8104	9866	8104	9866	156	954	100	8
0	0	0	1	1	2	"Landmark"	"1F1"	2230	1370	150	65535	65535	0	0	5335	5335	16374	21876	133	100	100	100	10223460	2.247	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	60200	60200	60200	60200	156	972	100	9
0	0	0	1	2	2	"MSP3.6"	"1B3"	2460	1370	150	4088	5173	3483	67	1503	1503	9418	19475	206	2	0	0	807027	-0.218	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2585	3670	2585	3670	156	872	100	10
