sampleID,antigen,FMedian,replicate
J0313,MSP3.6,5396,1
J0313,ETRAMP10.2,2221,1
J0313,GAMA,26167,1
J0313,MSRP4,12662,1
J0313,MSP4,34728,1
J0313,RAMA,10662,1
J0313,ASP,14002,1
J0313,MSP3.6,3176,2
J0313,ETRAMP10.2,2015,2
J0313,GAMA,32385,2
J0313,MSRP4,11601,2
J0313,MSP4,34376,2
J0313,RAMA,8685,2
J0313,ASP,13395,2
J0313,MSP3.6,2302,3
J0313,ETRAMP10.2,2255,3
J0313,GAMA,20628,3
J0313,MSRP4,9565,3
J0313,MSP4,34196,3
J0313,RAMA,8695,3
J0313,ASP,10931,3
J0313,PFD1130W,2453,1
J0313,EBA140,4786,1
J0313,MSRP2,2479,1
J0313,MSRP5,891,1
J0313,P34,1023,1
J0313,MSP8,8576,1
J0313,P12,2112,1
J0313,MSP6,2616,1
J0313,PFD1130W,1601,2
J0313,EBA140,3965,2
J0313,MSRP2,2034,2
J0313,MSRP5,1067,2
J0313,P34,1176,2
J0313,MSP8,9192,2
J0313,P12,1602,2
J0313,MSP6,2569,2
J0313,PFD1130W,2132,3
J0313,EBA140,668,3
J0313,MSRP2,626,3
J0313,MSRP5,939,3
J0313,P34,1671,3
J0313,MSP8,7902,3
J0313,P12,2344,3
J0313,MSP6,2425,3
J0313,PF1400044,3426,1
J0313,MSP1,10725,1
J0313,RON6,4601,1
J0313,MSP9,2013,1
J0313,PTEX150,13719,1
J0313,SERA7,5138,1
J0313,MSP2,65535,1
J0313,SERA3,4453,1
J0313,PF1400044,3636,2
J0313,MSP1,10872,2
J0313,RON6,3367,2
J0313,MSP9,2810,2
J0313,PTEX150,12504,2
J0313,SERA7,5644,2
J0313,MSP2,65535,2
J0313,SERA3,5420,2
J0313,PF1400044,2848,3
J0313,MSP1,10068,3
J0313,RON6,3115,3
J0313,MSP9,2748,3
J0313,PTEX150,10688,3
J0313,SERA7,8329,3
J0313,MSP2,65535,3
J0313,SERA3,3772,3
J0313,P41,1780,1
J0313,RON3,3417,1
J0313,PF92,4801,1
J0313,MSRP1,65535,1
J0313,EBA175,15857,1
J0313,TLP,4286,1
J0313,PF3D7_0606800,1392,1
J0313,PFA0135W,1409,1
J0313,P41,1634,2
J0313,RON3,3714,2
J0313,PF92,4002,2
J0313,MSRP1,65535,2
J0313,EBA175,15470,2
J0313,TLP,3059,2
J0313,PF3D7_0606800,1473,2
J0313,PFA0135W,1661,2
J0313,P41,1169,3
J0313,RON3,3634,3
J0313,PF92,3332,3
J0313,MSRP1,65535,3
J0313,EBA175,14408,3
J0313,TLP,2981,3
