sampleID,antigen,FMedian,replicate
J0310,MSP3.6,4154,1
J0310,ETRAMP10.2,2475,1
J0310,GAMA,6193,1
J0310,MSRP4,14080,1
J0310,MSP4,10792,1
J0310,RAMA,3096,1
J0310,ASP,8914,1
J0310,MSP3.6,4088,2
J0310,ETRAMP10.2,2695,2
J0310,GAMA,6223,2
J0310,MSRP4,14831,2
J0310,MSP4,9169,2
J0310,RAMA,3412,2
J0310,ASP,9739,2
J0310,MSP3.6,2452,3
J0310,ETRAMP10.2,2026,3
J0310,GAMA,5884,3
J0310,MSRP4,13043,3
J0310,MSP4,9085,3
J0310,RAMA,2959,3
J0310,ASP,8874,3
J0310,PFD1130W,2746,1
J0310,EBA140,1212,1
J0310,MSRP2,2224,1
J0310,MSRP5,1196,1
J0310,P34,1341,1
J0310,MSP8,4629,1
J0310,P12,1884,1
J0310,MSP6,3409,1
J0310,PFD1130W,3044,2
J0310,EBA140,1064,2
J0310,MSRP2,1803,2
J0310,MSRP5,1537,2
J0310,P34,1411,2
J0310,MSP8,5553,2
J0310,P12,1950,2
J0310,MSP6,3289,2
J0310,PFD1130W,2720,3
J0310,EBA140,951,3
J0310,MSRP2,892,3
J0310,MSRP5,1375,3
J0310,P34,1274,3
J0310,MSP8,4296,3
J0310,P12,1806,3
J0310,MSP6,2918,3
J0310,PF1400044,3376,1
J0310,MSP1,3854,1
J0310,RON6,3297,1
J0310,MSP9,2007,1
J0310,PTEX150,15622,1
J0310,SERA7,4345,1
J0310,MSP2,19810,1
J0310,SERA3,6325,1
J0310,PF1400044,3033,2
J0310,MSP1,3563,2
J0310,RON6,3665,2
J0310,MSP9,2673,2
J0310,PTEX150,15545,2
J0310,SERA7,4174,2
J0310,MSP2,19931,2
J0310,SERA3,6574,2
J0310,PF1400044,2960,3
J0310,MSP1,3596,3
J0310,RON6,2337,3
J0310,MSP9,3534,3
J0310,PTEX150,13008,3
J0310,SERA7,3693,3
J0310,MSP2,13107,3
J0310,SERA3,5119,3
J0310,P41,1757,1
J0310,RON3,3875,1
J0310,PF92,6200,1
J0310,MSRP1,65535,1
J0310,EBA175,2756,1
J0310,TLP,5851,1
J0310,PF3D7_0606800,1673,1
J0310,PFA0135W,2587,1
J0310,P41,1260,2
J0310,RON3,4448,2
J0310,PF92,6028,2
J0310,MSRP1,65535,2
J0310,EBA175,3412,2
J0310,TLP,6425,2
J0310,PF3D7_0606800,1603,2
J0310,PFA0135W,2514,2
J0310,P41,1559,3
J0310,RON3,4125,3
J0310,PF92,5035,3
J0310,MSRP1,65535,3
J0310,EBA175,2835,3
J0310,TLP,4433,3
J0310,PF3D7_0606800,1456,3
J0310,PFA0135W,2416,3
J0310,PF3D7_0525800(IMC1g),14206,1
J0310,PF3D7_1460600(ISP3),5389,1
J0310,PF3D7_1455300,4320,1
J0310,PF3D7_1025300,939,1
J0310,PF3D7_0925900,3621,1
J0310,PF3D7_0831400,4332,1
J0310,PF3D7_0730800.2,27648,1
J0310,PF3D7_1407800(PM4),907,1
J0310,PF3D7_0525800(IMC1g),15545,2
J0310,PF3D7_1460600(ISP3),5834,2
J0310,PF3D7_1455300,3296,2
J0310,PF3D7_1025300,794,2
J0310,PF3D7_0925900,3432,2
J0310,PF3D7_0831400,4829,2
J0310,PF3D7_0730800.2,27224,2
J0310,PF3D7_1407800(PM4),919,2
J0310,PF3D7_0525800(IMC1g),11799,3
J0310,PF3D7_1460600(ISP3),4823,3
J0310,PF3D7_1455300,2944,3
J0310,PF3D7_1025300,757,3
J0310,PF3D7_0925900,3507,3
J0310,PF3D7_0831400,3749,3
J0310,PF3D7_0730800.2,25939,3
J0310,PF3D7_1407800(PM4),921,3
J0310,PF3D7_0629500_SEG2,8445,1
J0310,PF3D7_1345100,3310,1
J0310,PF3D7_0206200,2287,1
J0310,PF3D7_1105800,3983,1
J0310,PTRAMP,4937,1
J0310,EBA181,3001,1
J0310,CD4TAG,1589,1
J0310,SERA2,4825,1
J0310,PF3D7_0629500_SEG2,8193,2
J0310,PF3D7_1345100,3275,2
J0310,PF3D7_0206200,2092,2
J0310,PF3D7_1105800,3846,2
J0310,PTRAMP,4649,2
J0310,EBA181,2611,2
J0310,CD4TAG,1500,2
J0310,SERA2,4172,2
J0310,PF3D7_0629500_SEG2,8620,3
J0310,PF3D7_1345100,3791,3
J0310,PF3D7_0206200,2262,3
J0310,PF3D7_1105800,2973,3
J0310,PTRAMP,4299,3
J0310,EBA181,2372,3
J0310,CD4TAG,1396,3
J0310,SERA2,3585,3
J0310,MSP1Block2K1flank,8333,1
J0310,MSP1Block2Wellcomefull,9176,1
J0310,MSP1Block2MAD20full,5360,1
J0310,MSP3K1,1154,1
J0310,MSPDBLC-terminal,6243,1
J0310,Surfin4.2K1,4764,1
J0310,MSPDBLN-terminal,1646,1
J0310,Surfin4.2Conserved,9641,1
J0310,MSP1Block2K1flank,7186,2
J0310,MSP1Block2Wellcomefull,9647,2
J0310,MSP1Block2MAD20full,5333,2
J0310,MSP3K1,1359,2
J0310,MSPDBLC-terminal,5749,2
J0310,Surfin4.2K1,4917,2
J0310,MSPDBLN-terminal,2310,2
J0310,Surfin4.2Conserved,11254,2
J0310,MSP1Block2K1flank,6914,3
J0310,MSP1Block2Wellcomefull,8457,3
J0310,MSP1Block2MAD20full,3782,3
J0310,MSP3K1,1259,3
J0310,MSPDBLC-terminal,5585,3
J0310,Surfin4.2K1,4375,3
J0310,MSPDBLN-terminal,1294,3
J0310,Surfin4.2Conserved,10529,3
J0310,PfD1160W18,26153,1
J0310,PfD1160W19,8656,1
J0310,MSP2CH15019DBL2,4522,1
J0310,GST,5478,1
J0310,PfD1160W18,23208,2
J0310,PfD1160W19,8550,2
J0310,MSP2CH15019DBL2,4426,2
J0310,GST,4990,2
J0310,PfD1160W18,12445,3
J0310,PfD1160W19,2375,3
J0310,MSP2CH15019DBL2,3562,3
J0310,GST,4849,3
J0310,SERA5,6174,1
J0310,MSP11,11550,1
J0310,RIPR,893,1
J0310,SPATR,5170,1
J0310,MSP3,4873,1
J0310,PF3D7_1136200,2533,1
J0310,PFSEA,23779,1
J0310,SERA5,6063,2
J0310,MSP11,10416,2
J0310,RIPR,993,2
J0310,SPATR,5813,2
J0310,MSP3,5635,2
