sampleID,antigen,FMedian,replicate
J0316,MSP3.6,5872,1
J0316,ETRAMP10.2,3764,1
J0316,GAMA,53284,1
J0316,MSRP4,48647,1
J0316,MSP4,65535,1
J0316,RAMA,9076,1
J0316,ASP,25275,1
J0316,MSP3.6,6646,2
J0316,ETRAMP10.2,6443,2
J0316,GAMA,49508,2
J0316,MSRP4,49960,2
J0316,MSP4,65535,2
J0316,RAMA,8277,2
J0316,ASP,23337,2
J0316,MSP3.6,4474,3
J0316,ETRAMP10.2,4191,3
J0316,GAMA,44627,3
J0316,MSRP4,42874,3
J0316,MSP4,65535,3
J0316,RAMA,8254,3
J0316,ASP,19374,3
J0316,PFD1130W,2771,1
J0316,EBA140,2351,1
J0316,MSRP2,1075,1
J0316,MSRP5,2036,1
J0316,P34,4342,1
J0316,MSP8,9065,1
J0316,P12,14180,1
J0316,MSP6,7496,1
J0316,PFD1130W,3232,2
J0316,EBA140,1804,2
J0316,MSRP2,1134,2
J0316,MSRP5,1659,2
J0316,P34,2505,2
J0316,MSP8,9270,2
J0316,P12,13294,2
J0316,MSP6,8680,2
J0316,PFD1130W,2585,3
J0316,EBA140,1134,3
J0316,MSRP2,1021,3
J0316,MSRP5,1475,3
J0316,P34,1864,3
J0316,MSP8,7885,3
J0316,P12,12874,3
J0316,MSP6,7062,3
J0316,PF1400044,6170,1
J0316,MSP1,28374,1
J0316,RON6,4501,1
J0316,MSP9,10898,1
J0316,PTEX150,27228,1
J0316,SERA7,8129,1
J0316,MSP2,65535,1
J0316,SERA3,14732,1
J0316,PF1400044,4814,2
J0316,MSP1,28010,2
J0316,RON6,5112,2
J0316,MSP9,10529,2
J0316,PTEX150,26607,2
J0316,SERA7,8244,2
J0316,MSP2,65535,2
J0316,SERA3,13209,2
J0316,PF1400044,4272,3
J0316,MSP1,25527,3
J0316,RON6,4075,3
J0316,MSP9,9233,3
J0316,PTEX150,23225,3
J0316,SERA7,5696,3
J0316,MSP2,65535,3
J0316,SERA3,10576,3
J0316,P41,4851,1
J0316,RON3,6371,1
J0316,PF92,10204,1
J0316,MSRP1,20791,1
J0316,EBA175,2951,1
J0316,TLP,9239,1
J0316,PF3D7_0606800,2687,1
J0316,PFA0135W,1911,1
J0316,P41,5906,2
J0316,RON3,5647,2
J0316,PF92,9679,2
J0316,MSRP1,20761,2
J0316,EBA175,3673,2
J0316,TLP,8675,2
J0316,PF3D7_0606800,2410,2
J0316,PFA0135W,2204,2
J0316,P41,4934,3
J0316,RON3,4797,3
J0316,PF92,8816,3
J0316,MSRP1,20727,3
J0316,EBA175,3106,3
J0316,TLP,6400,3
J0316,PF3D7_0606800,2200,3
J0316,PFA0135W,1847,3
J0316,PF3D7_0525800(IMC1g),7878,1
J0316,PF3D7_1460600(ISP3),5807,1
J0316,PF3D7_1455300,5579,1
J0316,PF3D7_1025300,759,1
J0316,PF3D7_0925900,2157,1
J0316,PF3D7_0831400,6004,1
J0316,PF3D7_0730800.2,65535,1
J0316,PF3D7_1407800(PM4),748,1
J0316,PF3D7_0525800(IMC1g),7505,2
J0316,PF3D7_1460600(ISP3),5465,2
J0316,PF3D7_1455300,5348,2
J0316,PF3D7_1025300,698,2
J0316,PF3D7_0925900,2680,2
J0316,PF3D7_0831400,5655,2
J0316,PF3D7_0730800.2,65535,2
J0316,PF3D7_1407800(PM4),750,2
J0316,PF3D7_0525800(IMC1g),6533,3
J0316,PF3D7_1460600(ISP3),4176,3
J0316,PF3D7_1455300,4475,3
J0316,PF3D7_1025300,649,3
J0316,PF3D7_0925900,2255,3
J0316,PF3D7_0831400,4814,3
J0316,PF3D7_0730800.2,65535,3
J0316,PF3D7_1407800(PM4),760,3
J0316,PF3D7_0629500_SEG2,18615,1
J0316,PF3D7_1345100,5124,1
J0316,PF3D7_0206200,2681,1
J0316,PF3D7_1105800,4454,1
J0316,PTRAMP,7532,1
J0316,EBA181,3039,1
J0316,CD4TAG,1822,1
J0316,SERA2,3496,1
J0316,PF3D7_0629500_SEG2,10707,2
J0316,PF3D7_1345100,5677,2
J0316,PF3D7_0206200,3715,2
J0316,PF3D7_1105800,5586,2
J0316,PTRAMP,7053,2
J0316,EBA181,1817,2
J0316,CD4TAG,1666,2
J0316,SERA2,3983,2
J0316,PF3D7_0629500_SEG2,12301,3
J0316,PF3D7_1345100,8538,3
J0316,PF3D7_0206200,3557,3
J0316,PF3D7_1105800,5490,3
J0316,PTRAMP,6958,3
J0316,EBA181,2530,3
J0316,CD4TAG,1717,3
J0316,SERA2,3959,3
J0316,MSP1Block2K1flank,4795,1
J0316,MSP1Block2Wellcomefull,10388,1
J0316,MSP1Block2MAD20full,6545,1
J0316,MSP3K1,1246,1
J0316,MSPDBLC-terminal,3543,1
J0316,Surfin4.2K1,2233,1
J0316,MSPDBLN-terminal,3884,1
J0316,Surfin4.2Conserved,3329,1
J0316,MSP1Block2K1flank,6002,2
J0316,MSP1Block2Wellcomefull,2299,2
J0316,MSP1Block2MAD20full,6036,2
J0316,MSP3K1,1181,2
J0316,MSPDBLC-terminal,2603,2
J0316,Surfin4.2K1,1113,2
J0316,MSPDBLN-terminal,5025,2
J0316,Surfin4.2Conserved,2767,2
J0316,MSP1Block2K1flank,3414,3
J0316,MSP1Block2Wellcomefull,3125,3
J0316,MSP1Block2MAD20full,4293,3
J0316,MSP3K1,1013,3
J0316,MSPDBLC-terminal,3800,3
J0316,Surfin4.2K1,1142,3
J0316,MSPDBLN-terminal,20303,3
J0316,Surfin4.2Conserved,4247,3
J0316,PfD1160W18,5092,1
J0316,PfD1160W19,5444,1
J0316,MSP2CH15019DBL2,3802,1
