sampleID,antigen,FMedian,replicate
J0169,MSP3.6,14701,1
J0169,ETRAMP10.2,5320,1
J0169,GAMA,36374,1
J0169,MSRP4,63464,1
J0169,MSP4,65535,1
J0169,RAMA,46939,1
J0169,ASP,34234,1
J0169,MSP3.6,20607,2
J0169,ETRAMP10.2,4388,2
J0169,GAMA,36621,2
J0169,MSRP4,65194,2
J0169,MSP4,65535,2
J0169,RAMA,49987,2
J0169,ASP,42646,2
J0169,MSP3.6,13541,3
J0169,ETRAMP10.2,5361,3
J0169,GAMA,34681,3
J0169,MSRP4,56547,3
J0169,MSP4,65535,3
J0169,RAMA,46645,3
J0169,ASP,27902,3
J0169,PFD1130W,4655,1
J0169,EBA140,19668,1
J0169,MSRP2,1986,1
J0169,MSRP5,2144,1
J0169,P34,3001,1
J0169,MSP8,13056,1
J0169,P12,5674,1
J0169,MSP6,17346,1
J0169,PFD1130W,3903,2
J0169,EBA140,15880,2
J0169,MSRP2,2039,2
J0169,MSRP5,2505,2
J0169,P34,2774,2
J0169,MSP8,12125,2
J0169,P12,5868,2
J0169,MSP6,19296,2
J0169,PFD1130W,3036,3
J0169,EBA140,1306,3
J0169,MSRP2,1095,3
J0169,MSRP5,2828,3
J0169,P34,2751,3
J0169,MSP8,10905,3
J0169,P12,5192,3
J0169,MSP6,17022,3
J0169,PF1400044,5509,1
J0169,MSP1,25404,1
J0169,RON6,5075,1
J0169,MSP9,6734,1
J0169,PTEX150,65535,1
J0169,SERA7,8696,1
J0169,MSP2,65535,1
J0169,SERA3,11907,1
J0169,PF1400044,5900,2
J0169,MSP1,26660,2
J0169,RON6,5160,2
J0169,MSP9,6147,2
J0169,PTEX150,65535,2
J0169,SERA7,7514,2
J0169,MSP2,65535,2
J0169,SERA3,13841,2
J0169,PF1400044,5122,3
J0169,MSP1,22673,3
J0169,RON6,4632,3
J0169,MSP9,7561,3
J0169,PTEX150,65535,3
J0169,SERA7,7659,3
J0169,MSP2,65535,3
J0169,SERA3,8315,3
J0169,P41,5518,1
J0169,RON3,6644,1
J0169,PF92,8215,1
J0169,MSRP1,65535,1
J0169,EBA175,65535,1
J0169,TLP,13650,1
J0169,PF3D7_0606800,5998,1
J0169,PFA0135W,2891,1
J0169,P41,5068,2
J0169,RON3,7482,2
J0169,PF92,8226,2
J0169,MSRP1,65535,2
J0169,EBA175,65535,2
J0169,TLP,15495,2
J0169,PF3D7_0606800,2451,2
J0169,PFA0135W,3143,2
J0169,P41,5196,3
J0169,RON3,6383,3
J0169,PF92,6200,3
J0169,MSRP1,65535,3
J0169,EBA175,65535,3
J0169,TLP,11763,3
J0169,PF3D7_0606800,2200,3
J0169,PFA0135W,3373,3
J0169,PF3D7_0525800(IMC1g),10441,1
J0169,PF3D7_1460600(ISP3),6679,1
J0169,PF3D7_1455300,8017,1
J0169,PF3D7_1025300,1522,1
J0169,PF3D7_0925900,5043,1
J0169,PF3D7_0831400,6247,1
J0169,PF3D7_0730800.2,65535,1
J0169,PF3D7_1407800(PM4),937,1
J0169,PF3D7_0525800(IMC1g),10487,2
J0169,PF3D7_1460600(ISP3),7210,2
J0169,PF3D7_1455300,8794,2
J0169,PF3D7_1025300,978,2
J0169,PF3D7_0925900,3105,2
J0169,PF3D7_0831400,7515,2
J0169,PF3D7_0730800.2,65535,2
J0169,PF3D7_1407800(PM4),1009,2
J0169,PF3D7_0525800(IMC1g),9241,3
J0169,PF3D7_1460600(ISP3),5886,3
J0169,PF3D7_1455300,7630,3
J0169,PF3D7_1025300,999,3
J0169,PF3D7_0925900,3319,3
J0169,PF3D7_0831400,5799,3
J0169,PF3D7_0730800.2,65535,3
J0169,PF3D7_1407800(PM4),1038,3
J0169,PF3D7_0629500_SEG2,19125,1
J0169,PF3D7_1345100,5279,1
J0169,PF3D7_0206200,5494,1
J0169,PF3D7_1105800,6168,1
J0169,PTRAMP,7949,1
J0169,EBA181,13121,1
J0169,CD4TAG,2593,1
J0169,SERA2,7263,1
J0169,PF3D7_0629500_SEG2,16871,2
J0169,PF3D7_1345100,5741,2
J0169,PF3D7_0206200,4730,2
J0169,PF3D7_1105800,6199,2
J0169,PTRAMP,8281,2
J0169,EBA181,12150,2
J0169,CD4TAG,2397,2
J0169,SERA2,6864,2
J0169,PF3D7_0629500_SEG2,18290,3
J0169,PF3D7_1345100,5252,3
J0169,PF3D7_0206200,4573,3
